Cite Key,Title,Authors,Year,Publication Date,Journal,Volume,Pages,Abstract,Citation Count,Citations/Year,DOI,URL,Relevance Score
Bor22,Petals: Collaborative Inference and Fine-tuning of Large Models,Alexander Borzunov et al.,2022,2022-09-02,Annual Meeting of the Association for Computational Linguistics,abs/2209.01188,,"Many NLP tasks benefit from using large language models (LLMs) that often have more than 100 billion parameters. With the release of BLOOM-176B and OPT-175B, everyone can download pretrained models of this scale. Still, using these models requires high-end hardware unavailable to many researchers. In some cases, LLMs can be used more affordably via RAM offloading or hosted APIs. However, these techniques have innate limitations: offloading is too slow for interactive inference, while APIs are not flexible enough for research that requires access to weights, attention or logits. In this work, we propose Petals - a system for inference and fine-tuning of large models collaboratively by joining the resources of multiple parties. We demonstrate that this strategy outperforms offloading for very large models, running inference of BLOOM-176B on consumer GPUs with ≈1 step per second, which is enough for many interactive LLM applications. Unlike most inference APIs, Petals also natively exposes hidden states of served models, allowing to train and share custom model extensions based on efficient fine-tuning methods. The system, its source code, and documentation are available at https://petals.mlVideo (2 min): https://youtu.be/F4muLI-0hTE",108,29,10.48550/arXiv.2209.01188,https://doi.org/10.48550/arXiv.2209.01188,5.0000
Bor23,Distributed Inference and Fine-tuning of Large Language Models Over The Internet,Alexander Borzunov et al.,2023,2023-12-13,ArXiv,abs/2312.08361,,"Large language models (LLMs) are useful in many NLP tasks and become more capable with size, with the best open-source models having over 50 billion parameters. However, using these 50B+ models requires high-end hardware, making them inaccessible to most researchers. In this work, we investigate methods for cost-efficient inference and fine-tuning of LLMs, comparing local and distributed strategies. We observe that a large enough model (50B+) can run efficiently even on geodistributed devices in a consumer-grade network. This could allow running LLM efficiently by pooling together idle compute resources of multiple research groups and volunteers. We address two open problems: (1) how to perform inference and fine-tuning reliably if any device can disconnect abruptly and (2) how to partition LLMs between devices with uneven hardware, joining and leaving at will. In order to do that, we develop special fault-tolerant inference algorithms and load-balancing protocols that automatically assign devices to maximize the total system throughput. We showcase these algorithms in Petals - a decentralized system that runs Llama 2 (70B) and BLOOM (176B) over the Internet up to 10x faster than offloading for interactive generation. We evaluate the performance of our system in simulated conditions and a real-world setup spanning two continents.",78,34,10.48550/arXiv.2312.08361,https://doi.org/10.48550/arXiv.2312.08361,4.2000
Saj23,Multi-task peer-to-peer learning using an encoder-only transformer model,"Robert Šajina, Nikola Tanković, and Ivo Ipšić",2023,2023-11-01,Future Gener. Comput. Syst.,152,170-178,,4,1.6,10.1016/j.future.2023.11.006,https://doi.org/10.1016/j.future.2023.11.006,3.6000
Saj20,Decentralized trustless gossip training of deep neural networks,"Robert Šajina, Nikola Tanković, and D. Etinger",2020,2020-09-28,"2020 43rd International Convention on Information, Communication and Electronic Technology (MIPRO)",,1080-1084,"Novel machine learning techniques apply decentralized model training in order to mitigate data volume and privacy issues. Current approaches assume (a) node performance homogeneity, and (b) simultaneous training. These assumptions also imply that the predictive performance of the distributed models evolves uniformly. A different approach is required since a distributed decentralized network is heterogeneous and nonstationary: nodes can join or leave the network at any point in time (churn). We propose a novel protocol for exchanging the model knowledge between peers using a gossip algorithm combined with the stochastic gradient descent (SGD). Our method has the advantage of being fully asynchronous, decentralized, trustless, and independent of the network size and the churn ratio. We validated the proposed algorithm by running network simulations in various scenarios.",6,1.1,10.23919/MIPRO48935.2020.9245248,https://doi.org/10.23919/MIPRO48935.2020.9245248,3.2000
Chi24b,Totoro: A Scalable Federated Learning Engine for the Edge,Cheng-Wei Ching et al.,2024,2024-04-22,Proceedings of the Nineteenth European Conference on Computer Systems,,,"Federated Learning (FL) is an emerging distributed machine learning (ML) technique that enables in-situ model training and inference on decentralized edge devices. We propose Totoro, a novel scalable FL engine, that enables massive FL applications to run simultaneously on edge networks. The key insight is to explore a distributed hash table (DHT)-based peer-to-peer (P2P) model to re-architect the centralized FL system design into a fully decentralized one. In contrast to previous studies where many FL applications shared one centralized parameter server, Totoro assigns a dedicated parameter server to each individual application. Any edge node can act as any application's coordinator, aggregator, client selector, worker (participant device), or any combination of the above, thereby radically improving scalability and adaptivity. Totoro introduces three innovations to realize its design: a locality-aware P2P multi-ring structure, a publish/subscribe-based forest abstraction, and a bandit-based exploitation-exploration path planning model. Real-world experiments on 500 Amazon EC2 servers show that Totoro scales gracefully with the number of FL applications and N edge nodes, speeds up the total training time by 1.2 × -14.0×, achieves O (logN) hops for model dissemination and gradient aggregation with millions of nodes, and efficiently adapts to the practical edge networks and churns.",13,6.6,10.1145/3627703.3629575,https://doi.org/10.1145/3627703.3629575,3.0000
Hua24,Towards Practical Overlay Networks for Decentralized Federated Learning,Yifan Hua et al.,2024,2024-09-09,2024 IEEE 32nd International Conference on Network Protocols (ICNP),,1-11,"Decentralized federated learning (DFL) uses peer-topeer communication to avoid the single point of failure problem in federated learning and has been considered an attractive solution for machine learning tasks on distributed devices. We provide the first solution to a fundamental network problem of DFL: what overlay network should DFL use to achieve fast training of highly accurate models, low communication, and decentralized construction and maintenance? Overlay topologies of DFL have been investigated, but no existing DFL topology includes decentralized protocols for network construction and topology maintenance. Without these protocols, DFL cannot run in practice. This work presents an overlay network, called FedLay, which provides fast training and low communication cost for practical DFL. FedLay is the first solution for constructing near-random regular topologies in a decentralized manner and maintaining the topologies under node joins and failures. Experiments based on prototype implementation and simulations show that FedLay achieves the fastest model convergence and highest accuracy on real datasets compared to existing DFL solutions while incurring small communication costs and being resilient to node joins and failures.",3,1.9,10.1109/ICNP61940.2024.10858583,https://doi.org/10.1109/ICNP61940.2024.10858583,2.8000
Lim25,P2P-Fed: A Decentralized Federated Learning Platform on Structured Peer-to-Peer Systems,"Ahyeon Lim, Sooho Jang, and Jaehwan Lee",2025,2025-05-19,"2025 IEEE 25th International Symposium on Cluster, Cloud and Internet Computing (CCGrid)",,124-133,"Federated learning is a distributed deep learning method that trains models without sending local private training data to a server, achieving communication efficiency and security. However, current federated learning techniques have two key issues: 1) scalability limitations due to heavy traffic concentrated on the central server and 2) performance degradation caused by systems and data heterogeneity. To address these issues, we propose P2P-Fed, a decentralized federated learning approach with asynchronous aggregation to minimize delays and enhance concurrency for faster convergence. We adopt Chord, a popular distributed hash table protocol, to reduce the load on individual nodes in large-scale environments and ensure stable performance in high-churn networks. We designed and implemented this system to run in a real distributed environment. Experiments in various realistic scenarios demonstrated that P2P-Fed achieved up to a 6.9% performance improvement compared to the best-performing baseline algorithm, without incurring additional overhead.",0,,10.1109/ccgrid64434.2025.00013,https://doi.org/10.1109/ccgrid64434.2025.00013,2.7000
Roy19,BrainTorrent: A Peer-to-Peer Environment for Decentralized Federated Learning,"A. Roy, Shayan Siddiqui, Sebastian Pölsterl, Nassir Navab, and C. Wachinger",2019,2019-05-16,ArXiv,abs/1905.06731,,"Access to sufficient annotated data is a common challenge in training deep neural networks on medical images. As annotating data is expensive and time-consuming, it is difficult for an individual medical center to reach large enough sample sizes to build their own, personalized models. As an alternative, data from all centers could be pooled to train a centralized model that everyone can use. However, such a strategy is often infeasible due to the privacy-sensitive nature of medical data. Recently, federated learning (FL) has been introduced to collaboratively learn a shared prediction model across centers without the need for sharing data. In FL, clients are locally training models on site-specific datasets for a few epochs and then sharing their model weights with a central server, which orchestrates the overall training process. Importantly, the sharing of models does not compromise patient privacy. A disadvantage of FL is the dependence on a central server, which requires all clients to agree on one trusted central body, and whose failure would disrupt the training process of all clients. In this paper, we introduce BrainTorrent, a new FL framework without a central server, particularly targeted towards medical applications. BrainTorrent presents a highly dynamic peer-to-peer environment, where all centers directly interact with each other without depending on a central body. We demonstrate the overall effectiveness of FL for the challenging task of whole brain segmentation and observe that the proposed server-less BrainTorrent approach does not only outperform the traditional server-based one but reaches a similar performance to a model trained on pooled data.",348,50,,https://www.semanticscholar.org/paper/aad543a5b7f231f085764ce0258fe8914a15006f,2.6000
Saj24c,An Overview of Autonomous Connection Establishment Methods in Peer-to-Peer Deep Learning,"Robert Šajina, Nikola Tanković, and Ivo Ipšić",2024,,IEEE Access,12,111752-111768,"The exchange of model parameters between peers is critical in peer-to-peer deep learning. Historically, connections between agents were assigned randomly based on network topology. However, recent methodologies enable agents to autonomously establish their connections, which is especially beneficial for non-IID data settings. Recent studies suggest favorable learning outcomes for autonomous connections compared to fixed topology when evaluated in synthetic non-IID environments. To that end, this study will explore various methodologies to enhance learning outcomes. Through several large-scale experiments with synthetic and realistic non-IID data sets, it evaluates communication efficiency, message exchange frequency, and centralization tendencies. The findings underscore the potential of these methods to enhance local model accuracy, uphold communication efficiency, and resist centralization, rendering them highly suitable for decentralized learning systems. The evaluation results establish PANMGrad and PANMLoss as the most effective solutions in such environments.",0,,10.1109/ACCESS.2024.3442014,https://doi.org/10.1109/ACCESS.2024.3442014,2.6000
Tan23b,GossipFL: A Decentralized Federated Learning Framework With Sparsified and Adaptive Communication,"Zhenheng Tang, S. Shi, Bo Li, and X. Chu",2023,2023-03-01,IEEE Transactions on Parallel and Distributed Systems,34,909-922,"Recently, federated learning (FL) techniques have enabled multiple users to train machine learning models collaboratively without data sharing. However, existing FL algorithms suffer from the communication bottleneck due to network bandwidth pressure and/or low bandwidth utilization of the participating clients in both centralized and decentralized architectures. To deal with the communication problem while preserving the convergence performance, we introduce a communication-efficient decentralized FL framework GossipFL. In GossipFL, we 1) design a novel sparsification algorithm to enable that each client only needs to communicate with one peer with a highly sparsified model, and 2) propose a new and novel gossip matrix generation algorithm that can better utilize the bandwidth resources while preserving the convergence property. We also theoretically prove that GossipFL has convergence guarantees. We conduct experiments with three convolutional neural networks on two datasets (IID and non-IID) under two distributed environments (14 clients and 100 clients) to verify the effectiveness of GossipFL. Experimental results show that GossipFL takes less communication traffic for 38.5% and less communication time for <inline-formula><tex-math notation=""LaTeX"">$49.8$</tex-math><alternatives><mml:math><mml:mrow><mml:mn>49</mml:mn><mml:mo>.</mml:mo><mml:mn>8</mml:mn></mml:mrow></mml:math><inline-graphic xlink:href=""chu-ieq1-3230938.gif""/></alternatives></inline-formula>% than state-of-the-art solutions while achieving comparative model accuracy.",130,42,10.1109/TPDS.2022.3230938,https://doi.org/10.1109/TPDS.2022.3230938,2.5500
