paper_key,arxiv_id,doi,title,authors,year,venue,citation_count,tier,review_source,corpus,contribution_type,method_name,peft_technique,distribution_mechanism,thesis_sections,contribution_codes,datasets,metrics,key_finding,notes_raw,source
2603.02885,2603.02885,,MuxTune: Efficient Multi-Task LLM Fine-Tuning in Multi-Tenant Datacenters via Spatial-Temporal Backbone Multiplexing,Chunyu Xue; Yi Pan; Weihao Cui; Quan Chen; Shulai Zhang; Bingsheng He; Minyi Guo,2026,,0,1,fulltext,core,adapter-serving,,generic-PEFT,none,§5.x,,,,MuxTune: spatial-temporal backbone multiplexing for concurrent multi-task PEFT,MuxTune: spatial-temporal backbone multiplexing for concurrent multi-task PEFT; 2.33× throughput. §5.x,ARXIV
2512.20210,2512.20210,10.1145/3795154.3795359,Predictive-LoRA: A Proactive and Fragmentation-Aware Serverless Inference System for LLMs,"Ni Y., Yang X., Tang Y., Qiu Z., Wang C., Yuan T.",2025,Proceedings of the 2025 6th International Conference on Computer Science and Management Technology,4,1,fulltext,core,adapter-serving,,LoRA,serverless,§5.x,,,,Predictive-LoRA: LSTM adapter demand predictor + page-based GPU memory mgmt,Predictive-LoRA: LSTM adapter demand predictor + page-based GPU memory mgmt; 1.52× S-LoRA. §5.x,SCOPUS
10.1145/3711875.3729141,,10.1145/3711875.3729141,EdgeLoRA: An Efficient Multi-Tenant LLM Serving System on Edge Devices,"Shen Z., He Y., Wang Z., Zhang Y., Sun G., Ye W., Li A.",2025,"Proceedings of the 23rd Annual International Conference on Mobile Systems, Applications and Services",3,1,abstract-2nd-pass,core,adapter-serving,,LoRA,none,§5.x,,,,EdgeLoRA: multi-tenant LoRA serving on edge devices,§5.x EdgeLoRA: multi-tenant LoRA serving on edge devices,SCOPUS
2511.22880,2511.22880,10.48550/arXiv.2511.22880,Serving Heterogeneous LoRA Adapters in Distributed LLM Inference Systems,Shashwat Jaiswal; Shrikara Arun; Anjaly Parayil; Ankur Mallick; Spyros Mastorakis; Alind Khare; Chloi Alverti; Renee St Amant; Chetan Bansal; Victor Rühle; Josep Torrellas,2025,arXiv.org,2,1,fulltext,core,adapter-serving,,LoRA,none,§5.x,★S1,,,LoraServe: rank-diversity-aware placement + GPU Direct RDMA,"LoraServe: rank-diversity-aware placement + GPU Direct RDMA; 2× throughput, 9× lower TTFT. §5.x ★S1",ARXIV
10.1109/TPDS.2025.3590014,,10.1109/TPDS.2025.3590014,Cannikin: No Lagger of SLO in Concurrent Multiple LoRA LLM Serving,"Zhu R., Jiang Z., Zhang Z., Liu X., Liu X., Jin X.",2025,IEEE Transactions on Parallel and Distributed Systems 36,1,1,abstract-2nd-pass,core,adapter-serving,,LoRA,none,§5.x,,,,Cannikin: SLO-aware concurrent multi-LoRA serving,§5.x Cannikin: SLO-aware concurrent multi-LoRA serving,SCOPUS
10.1109/ICCD65941.2025.00046,,10.1109/ICCD65941.2025.00046,AuLoRA: Fine-Grained Loading and Computation Orchestration for Efficient LoRA LLM Serving,"Shi X., Du J., Chen Z., Lu Y.",2025,2025 IEEE 43rd International Conference on Computer Design (ICCD),0,1,abstract-2nd-pass,core,adapter-serving,,LoRA,none,§5.x,,,,AuLoRA: fine-grained LoRA loading/computation orchestration,§5.x AuLoRA: fine-grained LoRA loading/computation orchestration,SCOPUS
10.1145/3772052.3772230,,10.1145/3772052.3772230,Symbiosis: Multi-Adapter Inference and Fine-Tuning,"Gupta S., Deshpande U., Janssen T., Sundararaman S.",2025,Proceedings of the 2025 ACM Symposium on Cloud Computing,0,1,abstract-2nd-pass,core,adapter-serving,,LoRA,none,§4.x; §5.x,,,,Symbiosis: multi-adapter inference and fine-tuning,§4.x §5.x Symbiosis: multi-adapter inference and fine-tuning,SCOPUS
69d631b3875149050ab3088501cfc9d5cbea9e99,,,"Toppings: CPU-Assisted, Rank-Aware Adapter Serving for LLM Inference","Li S., Lu H., Wu T., Yu M., Weng Q., Chen X., Shan Y., Yuan B., Wang W.",2025,USENIX Annual Technical Conference,5,2,abstract-2nd-pass,core,adapter-serving,,LoRA,none,§5.x,,,,Toppings: CPU-assisted rank-aware LoRA adapter serving,§5.x Toppings: CPU-assisted rank-aware LoRA adapter serving,SCOPUS
10.1145/3795154.3795363,,10.1145/3795154.3795363,FlashServe: Cost-Efficient Serverless Inference Scheduling for Large Language Models via Tiered Memory Management and Predictive Autoscaling,Chen B.,2025,Proceedings of the 2025 6th International Conference on Computer Science and Management Technology,2,2,abstract-2nd-pass,core,adapter-serving,,LoRA,serverless,§5.x,,,,FlashServe: serverless LLM inference scheduling with LoRA cold-start handling,§5.x FlashServe: serverless LLM inference scheduling with LoRA cold-start handling,SCOPUS
10.1109/CLUSTER59342.2025.11186463,,10.1109/CLUSTER59342.2025.11186463,Rock: Serving Multimodal Models in Cloud with Heterogeneous-Aware Resource Orchestration for Thousands of LoRA Adapters,"Wu S., Lin Y., Peng S., Chen W., Ma C., Shen M., Chen L., Xu C., Ye K.",2025,2025 IEEE International Conference on Cluster Computing (CLUSTER),1,3,abstract-2nd-pass,core,adapter-serving,,LoRA,none,§5.x,,,,Rock: serving thousands of LoRA adapters for multimodal cloud models,§5.x Rock: serving thousands of LoRA adapters for multimodal cloud models,SCOPUS
