title,authors,year,venue,citation_count,doi,arxiv_id,ss_paper_id,eid,seed_group,direction,source_engine,tier,abstract_decision,fulltext_decision,pdf_downloaded,contribution_type,peft_technique,distribution_mechanism,thesis_sections,contribution_codes,in_title_screened_S5,in_enriched_S6,in_abstract_review_S7b,in_fulltext_queue_Q9,in_extraction_E11,in_final_list_123,final_paper_key,final_doi,final_arxiv_id
MuxTune: Efficient Multi-Task LLM Fine-Tuning in Multi-Tenant Datacenters via Spatial-Temporal Backbone Multiplexing,Chunyu Xue; Yi Pan; Weihao Cui; Quan Chen; Shulai Zhang; Bingsheng He; Minyi Guo,2026,,0,,2603.02885,,,G0,FORWARD,ss,1,KEEP,INCLUDE,YES,adapter-serving,generic-PEFT,none,§5.x,,1,1,1,1,1,1,2603.02885,,2603.02885
Predictive-LoRA: A Proactive and Fragmentation-Aware Serverless Inference System for LLMs,"Ni Y., Yang X., Tang Y., Qiu Z., Wang C., Yuan T.",2025,Proceedings of the 2025 6th International Conference on Computer Science and Management Technology,4,10.1145/3795154.3795359,2512.20210,,,G0,FORWARD,ss,1,KEEP,INCLUDE,YES,adapter-serving,LoRA,serverless,§5.x,,1,1,1,1,1,1,2512.20210,10.1145/3795154.3795359,2512.20210
EdgeLoRA: An Efficient Multi-Tenant LLM Serving System on Edge Devices,"Shen Z., He Y., Wang Z., Zhang Y., Sun G., Ye W., Li A.",2025,"Proceedings of the 23rd Annual International Conference on Mobile Systems, Applications and Services",3,10.1145/3711875.3729141,,,,G4,PREVALIDATED,undermind,1,KEEP,,NO,adapter-serving,LoRA,none,§5.x,,1,1,1,1,1,1,10.1145/3711875.3729141,10.1145/3711875.3729141,
Serving Heterogeneous LoRA Adapters in Distributed LLM Inference Systems,Shashwat Jaiswal; Shrikara Arun; Anjaly Parayil; Ankur Mallick; Spyros Mastorakis; Alind Khare; Chloi Alverti; Renee St Amant; Chetan Bansal; Victor Rühle; Josep Torrellas,2025,arXiv.org,2,10.48550/arXiv.2511.22880,2511.22880,,,G0,FORWARD,ss,1,KEEP,INCLUDE,YES,adapter-serving,LoRA,none,§5.x,★S1,1,1,1,1,1,1,2511.22880,10.48550/arXiv.2511.22880,2511.22880
Cannikin: No Lagger of SLO in Concurrent Multiple LoRA LLM Serving,"Zhu R., Jiang Z., Zhang Z., Liu X., Liu X., Jin X.",2025,IEEE Transactions on Parallel and Distributed Systems 36,1,10.1109/TPDS.2025.3590014,,,,G4,PREVALIDATED,undermind,1,KEEP,,NO,adapter-serving,LoRA,none,§5.x,,1,1,1,1,1,1,10.1109/TPDS.2025.3590014,10.1109/TPDS.2025.3590014,
AuLoRA: Fine-Grained Loading and Computation Orchestration for Efficient LoRA LLM Serving,"Shi X., Du J., Chen Z., Lu Y.",2025,2025 IEEE 43rd International Conference on Computer Design (ICCD),0,10.1109/ICCD65941.2025.00046,,,,G4,PREVALIDATED,undermind,1,KEEP,,NO,adapter-serving,LoRA,none,§5.x,,1,1,1,1,1,1,10.1109/ICCD65941.2025.00046,10.1109/ICCD65941.2025.00046,
Symbiosis: Multi-Adapter Inference and Fine-Tuning,"Gupta S., Deshpande U., Janssen T., Sundararaman S.",2025,Proceedings of the 2025 ACM Symposium on Cloud Computing,0,10.1145/3772052.3772230,,,,G4,PREVALIDATED,undermind,1,KEEP,,NO,adapter-serving,LoRA,none,§4.x; §5.x,,1,1,1,1,1,1,10.1145/3772052.3772230,10.1145/3772052.3772230,
S-LoRA: Serving Thousands of Concurrent LoRA Adapters,Ying Sheng; Shiyi Cao; Dacheng Li; Coleman Hooper; Nicholas Lee; Shuo Yang; Christopher Chou; Banghua Zhu; Lianmin Zheng; Kurt Keutzer; Joseph E. Gonzalez; Ion Stoica,2024,Conference on Machine Learning and Systems (MLSys 2024),154,,2311.03285,,,G0,SEED,seed,1,KEEP,INCLUDE,YES,adapter-serving,LoRA,model-parallel,§5.1,★S1,1,1,1,1,1,1,2311.03285,,2311.03285
Edge-LLM: A Collaborative Framework for Large Language Model Serving in Edge Computing,"Cai F., Yuan D., Yang Z., Cui L.",2024,2024 IEEE International Conference on Web Services (ICWS),44,10.1109/ICWS62655.2024.00099,,,,G3,PREVALIDATED,undermind,1,KEEP,,NO,adapter-serving,generic-PEFT,edge-collaborative,§5.x; §6.x,,1,1,1,1,1,1,10.1109/ICWS62655.2024.00099,10.1109/ICWS62655.2024.00099,
CaraServe: CPU-Assisted and Rank-Aware LoRA Serving for Generative LLM Inference,Suyi Li; Hanfeng Lu; Tianyuan Wu; Minchen Yu; Qizhen Weng; Xusheng Chen; Yizhou Shan; Binhang Yuan; Wei Wang,2024,ArXiv,29,10.48550/arXiv.2401.11240,2401.11240,,,G4,PREVALIDATED,undermind,1,KEEP,INCLUDE,YES,adapter-serving,LoRA,none,§5.3,,1,1,1,1,1,1,2401.11240,10.48550/arXiv.2401.11240,2401.11240
