system,bib_key,in_concept_matrix_17,in_table7_33,baseline_adequacy,threats_to_validity_reporting,peer_reviewed_status,notes
SLoRA,Babakniya2023,N,Y,,,,
Ben-Zaken et al.,BenZaken2022,N,Y,,,,
Petals,Borzunov2023,Y,Y,,,,
Punica,Chen2023Punica,Y,Y,,,,
Dettmers et al.,Dettmers2023,N,Y,,,,
LoRAMoE,DouLoRAMoE2024,N,Y,,,,
Switch Transformers,Fedus2022,N,Y,,,,
Gossip Learning,HegeduisGossip2019,Y,Y,,,,
Houlsby et al.,Houlsby2019,Y,Y,,,,
Hu et al.,Hu2022,Y,Y,,,,
LoraHub,Huang2023,Y,Y,,,,
FedProx,Li2020FedProx,N,Y,,,,
CaraServe,Li2024CaraServe,Y,Y,,,,
Li and Liang,LiLiang2021,N,Y,,,,
MixLoRA,LiMixLoRA2024,Y,Y,,,,
MOELoRA (Liu et al.),LiuWhenMOE2024,N,Y,,,,
FedAvg,McMahan2017,N,Y,,,,
Ostapenko et al.,Ostapenko2024,N,Y,,,,
AdapterHub,Pfeiffer2020hub,Y,Y,,,,
AdapterFusion,Pfeiffer2021fusion,Y,Y,,,,
MAD-X,PfeifferMADX2020,N,Y,,,,
Poth et al.,PothAdapters2023,N,Y,,,,
DeepSpeed-MoE,RajbhandariDeepSpeed2022,N,Y,,,,
Crowdsourced MoE,RyabininCrowdsourced2020,N,Y,,,,
MT-EF (Multi-Task Encoder Fusion) / {S}ajina,Sajina2024,Y,Y,,,,
S-LoRA,Sheng2024,Y,Y,,,,
AdaMix,WangAdaMix2022,N,Y,,,,
FLoRA,WangFLoRA2024,Y,Y,,,,
DP-FedLoRA,XuDPFedLoRA2025,Y,Y,,,,
FedPETuning,ZhangFedPETuning2023,Y,Y,,,,
MiLoRA,ZhangMiLoRA2024,Y,Y,,,,
LoraRetriever,ZhaoLoraRetriever2024,Y,Y,,,,
Expert Choice,Zhou2022,N,Y,,,,
