Authors,Title,Year,Source title,Cited by,DOI,Document Type,Open Access,EID
Choi W.; Jang J.-S.,A Fully Automated Deep Learning Pipeline for Anatomical Landmark Localization on Three-Dimensional Pelvic Surface Scans,2026,Sensors,0,10.3390/s26061760,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105034270526
Liu M.; Li H.; Muqtadir A.; Osama R.; Shahzad M.F.,CAPPR-Wallet: a context-aware and recoverable wallet architecture with privacy-preserving rules for trustless blockchain ecosystems,2026,Scientific Reports,1,10.1038/s41598-026-43214-3,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105036882018
Hu H.; Wang T.; Wang H.; Amirat Y.,Multilevel Inverter Fault Diagnosis Using Differentiable Architecture Search for Edge Deployment,2026,AI (Switzerland),0,10.3390/ai7060208,Article,All Open Access; Gold Open Access,2-s2.0-105042971008
Du Z.; Yan Z.; Xu Y.,Comprehensive Energy Forecasting of Smart Homes: A Lightweight Multi-Task Neural Network via Sparse Neuron Reuse,2026,IEEE Transactions on Smart Grid,0,10.1109/TSG.2026.3682527,Article,,2-s2.0-105036245992
Sobhan S.; Mahmud K.A.; Zami A.; Ahmed M.; Uddin M.P.,MedPrompt: LLM–CNN Fusion with Weight Routing for Medical Image Segmentation and Classification,2026,Biomedical Signal Processing and Control,2,10.1016/j.bspc.2025.109251,Article,All Open Access; Green Open Access; Hybrid Gold Open Access,2-s2.0-105022236566
Geng Y.; Tang A.,A Concept-Centric Approach to Multi-Modality Learning,2026,Transactions on Machine Learning Research,0,,Article,,2-s2.0-105030624700
Kim M.; Choi D.; Cho Y.; Kim Y.; Lee J.; Lee C.; Sohn K.,ET-BERT with Adapter Fusion: Operating-Regime Analysis of Modular Continual Adaptation for Encrypted Traffic Classification,2026,CMES - Computer Modeling in Engineering and Sciences,0,10.32604/cmes.2026.084041,Article,All Open Access; Gold Open Access,2-s2.0-105046157069
Dobrosolski J.; Szymański J.; Kozłowski D.,Low-latency HRV analysis from ultra-short ECG windows using a modular deep-learning framework,2026,Scientific Reports,0,10.1038/s41598-026-48463-w,Article,All Open Access; Gold Open Access; Green Open Access,2-s2.0-105043473149
Kundur N.C.; Kavitha M.,Conversations with Context: A Modular Transformer Framework for Understanding and Generating Natural Language,2026,Procedia Computer Science,0,10.1016/j.procs.2026.06.500,Conference paper,All Open Access; Gold Open Access,2-s2.0-105046069302
Tan J.; Liu T.; Hu F.; Feng W.; Wan L.,E-Logic Prompt: Unified Energy-Logic Framework foContinual Visual Question Answering,2026,Proceedings of the AAAI Conference on Artificial Intelligence,0,10.1609/aaai.v40i30.39775,Conference paper,All Open Access; Gold Open Access,2-s2.0-105034900812
