Authors,Title,Year,Source title,Cited by,DOI,Document Type,Open Access,EID
Husain A.; Zalzala A.,Comparative Climate Change Sentiment Analysis Using Machine Learning,2026,"Proceedings of the 5th International Conference on Sentiment Analysis and Deep Learning, ICSADL 2026",0,10.1109/ICSADL67539.2026.11451770,Conference paper,,2-s2.0-105036472962
Yun S.; Pei J.; Wang P.,TOAST: Task-Oriented Adaptive Semantic Transmission Over Dynamic Wireless Environments,2026,IEEE Transactions on Network Science and Engineering,3,10.1109/TNSE.2025.3604633,Article,,2-s2.0-105015049337
Alkinde A.; Kurugollu F.; Harous S.,Multimodal and Vision Language Few Shot Learning: A Survey,2026,"2026 International Conference on Artificial Intelligence, Systems, and Emerging Technologies, ICAISET 2026",0,10.1109/ICAISET66439.2026.11542210,Conference paper,,2-s2.0-105042159052
Yang A.; Kawarabayashi K.-I.,MaskGT: Learning Task-Adaptive Connectivity in Graph Transformers,2026,Transactions on Machine Learning Research,0,,Article,,2-s2.0-105048949616
Zhang T.; Yu P.; Xia Z.; Dai L.; Zhou X.; Gao H.,Fine-Grained DINO Tuning with Dual Supervision for Face Forgery Detection,2026,Proceedings of the AAAI Conference on Artificial Intelligence,1,10.1609/aaai.v40i15.38275,Conference paper,All Open Access; Gold Open Access,2-s2.0-105034600341
Sun X.; Huang S.; Zhang M.; Huang J.; Li M.; Liu J.; Chen L.; Yang J.; Sun J.; Wang Y.; Zhang X.,Accurate geographical origin traceability of Artemisia argyi and Artemisia stolonifera using double-sided hyperspectral data and a dual-stream collaborative attention model,2027,Food Control,0,10.1016/j.foodcont.2026.112463,Article,,2-s2.0-105045801756
Yao H.; Chen Q.; Luo W.; Zhang Z.; Liao J.; You W.,TDSS: Task Dynamic-Synergistic Skill Adaptation for Boosting Efficient and Scalable Multi-Task Learning in Dense Visual Prediction,2026,Proceedings of the AAAI Conference on Artificial Intelligence,0,10.1609/aaai.v40i14.38172,Conference paper,All Open Access; Gold Open Access,2-s2.0-105035030075
Wang Y.; Hu K.; Dai P.; Liu J.,Image-free single-pixel sensing for human pose estimation and parameter-efficient fine-tuning,2026,Optics letters,1,10.1364/OL.589690,Article,,2-s2.0-105034818615
Soufiane B.O.,Multi-Task Vision Transformer for Date Palm Disease Analysis with Localization and Severity Estimation,2026,"Signal, Image and Video Processing",0,10.1007/s11760-026-05415-1,Article,,2-s2.0-105039504618
Zi Y.; Geng T.; Li C.; Zhou X.,RDB-MTL: A Parameter-Efficient Architecture for End-to-End Trustworthiness in 6G Service Chains,2026,"2026 8th International Conference on Information Science, Electrical and Automation Engineering, ISEAE 2026",0,10.1109/ISEAE69422.2026.11544896,Conference paper,,2-s2.0-105042471602
E E.; Deepthi J.K.; Sirigiri J.C.; Madam S.L.; Swathi Priya Y.,Fine-grained emotion recognition using RoBERTa with low-rank adaptation and retrieval-augmented context contrastive definition pretraining masked language modeling and multi-dataset transfer learning,2026,International Journal of Computers and Applications,0,10.1080/1206212X.2026.2708345,Review,,2-s2.0-105046495927
Danish A.A.K.; Chatterjee S.,Bridging the safety-specific language model gap: Domain-adaptive pretraining of transformer-based models across several industrial sectors for occupational safety applications,2026,Expert Systems with Applications,5,10.1016/j.eswa.2025.130068,Article,,2-s2.0-105020892304
Liu J.; Ma H.; Li X.; Li Y.; Si Y.; Xing Z.; Wang Z.; Shao M.,Research Progress in Target Audio Processing Methods Based on Pre⁃trained Models; [基 于 预 训 练 模 型 的 目 标 音 频 处 理 研 究 进 展],2026,Shuju Caiji Yu Chuli/Journal of Data Acquisition and Processing,0,10.16337/j.1004-9037.2026.02.007,Article,,2-s2.0-105043315964
Liu Y.; Wei W.; Zhang Q.; Li P.; Ma T.,A scalable framework for efficient multi-task learning via task-adaptive feature fusion,2026,Engineering Applications of Artificial Intelligence,0,10.1016/j.engappai.2026.115717,Article,,2-s2.0-105046720900
Chen Z.; Ding M.; Shen Y.; Learned-Miller E.; Gan C.,Toward Unified Expertise: Learning a Single Vision Model From Diverse Perception,2026,IEEE Transactions on Pattern Analysis and Machine Intelligence,0,10.1109/TPAMI.2025.3647880,Article,,2-s2.0-105025886577
Hu M.; Wang S.; Safari M.; Li Q.; Yang X.,UltraDINO: Parameter-Efficient Adaptation of DINOv3 for Segmentation on Large-Scale Ultrasound Datasets,2026,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,0,10.1117/12.3088145,Conference paper,,2-s2.0-105039286164
Liu F.; Kwak S.; Phung H.; Nizam N.B.; Richter I.; Uriel N.; Averbuch-Elor H.; Estrin D.; Sabuncu M.R.,HyperCT: Low-Rank Hypernet for Unified Chest CT Analysis,2026,Proceedings of Machine Learning Research,0,,Conference paper,,2-s2.0-105040179997
