Authors,Title,Year,Source title,Cited by,DOI,Document Type,Open Access,UT (Accession Number)
"Li, N; Zhang, Y; Wang, J; Xu, D; Zhang, XJ",Qwen-Gender: A Chain-of-Thought Based Multi-task Gender Bias Mitigation System,2026,"NATURAL LANGUAGE PROCESSING AND CHINESE COMPUTING, NLPCC 2025, PT IV",0,10.1007/978-981-95-3352-7_41,Proceedings Paper,,WOS:001720981600041
"Yao, HM; Chen, QY; Luo, W; Zhang, Z; Liao, JX; You, W",TDSS: Task Dynamic-Synergistic Skill Adaptation for Boosting Efficient and Scalable Multi-Task Learning in Dense Visual Prediction,2026,"FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 14",0,,Proceedings Paper,,WOS:001768169200058
"Peng, C; Dong, XY; Lyu, M; Paredes, D; Zhang, YY; Wu, YH","A study of large language models for patient information extraction: Model architecture, fine-tuning strategy, and multi-task instruction tuning",2026,JOURNAL OF BIOMEDICAL INFORMATICS,0,10.1016/j.jbi.2026.105034,Article,,WOS:001740126400001
"Liu, YC; Wei, W; Zhang, QH; Li, P; Ma, T",A scalable framework for efficient multi-task learning via task-adaptive feature fusion,2026,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,0,10.1016/j.engappai.2026.115717,Article,,WOS:001827897900001
"Moayedikia, A; Troncoso, A",Bridging training and merging through momentum-aware optimization,2026,INFORMATION SCIENCES,0,10.1016/j.ins.2026.123402,Article,,WOS:001729409200001
"Danish, AAK; Chatterjee, S",Bridging the safety-specific language model gap: Domain-adaptive pretraining of transformer-based models across several industrial sectors for occupational safety applications,2026,EXPERT SYSTEMS WITH APPLICATIONS,5,10.1016/j.eswa.2025.130068,Article,,WOS:001606209600001
"Soufiane, B",Multi-Task Vision Transformer for Date Palm Disease Analysis with Localization and Severity Estimation,2026,SIGNAL IMAGE AND VIDEO PROCESSING,0,10.1007/s11760-026-05415-1,Article,,WOS:001767482400002
"Yao, HM; Luo, W; Chen, QY; Liao, JX; You, W","Parameter-, Memory-, Time-Efficient Multi-Task Dense Vision Adaptation",2026,"FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 14",0,,Proceedings Paper,,WOS:001768169200057
"Zhang, TX; Yu, PP; Xia, ZH; Dai, LC; Zhou, XY; Gao, H",Fine-Grained DINO Tuning with Dual Supervision for Face Forgery Detection,2026,"FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 15",1,,Proceedings Paper,,WOS:001768176000060
"Qin, DH; Chen, Z; Liang, X; Bai, FB",Transfer Learning for Low-Resource Automatic Speech Recognition: A Survey and Future Directions,2026,DATA INTELLIGENCE,0,10.3724/2096-7004.di.2026.0082,Article,,WOS:001865842800001
"El-Enen, MAA; Ismail, SS; Nazmy, TM",Med-LLaMA3: Advancing Medical Question-Answering Through Parameter-Efficient Fine-Tuning of Large Language Models,2026,APPLIED SCIENCES-BASEL,0,10.3390/app16126158,Article,,WOS:001801899200001
"Sani, S; Gangashetty, SV; Samudravijaya, K; Dubey, AK",Emotion-Semantic-Aware Neural Machine Translation Between Indo-Aryan and Dravidian Languages via Transfer Learning,2026,IEEE ACCESS,2,10.1109/ACCESS.2026.3651419,Article,,WOS:001662967700014
"Bao, XC; Feng, JZ; Huo, YR; Qiu, HX; Yu, HR; Ren, SY; Ren, JD",Controlled subspace fusion for language model continual learning,2026,INFORMATION FUSION,0,10.1016/j.inffus.2026.104184,Article,,WOS:001680181100001
"Sun, X; Huang, SH; Zhang, MX; Huang, JW; Li, M; Liu, JJ; Chen, L; Yang, J; Sun, JH; Wang, YY; Zhang, XB",Accurate geographical origin traceability of Artemisia argyi and Artemisia stolonifera using double-sided hyperspectral data and a dual-stream collaborative attention model,2027,FOOD CONTROL,0,10.1016/j.foodcont.2026.112463,Article,,WOS:001838648700001
"Gupta, S; Mahmood, A; Shukla, S; Ramprasad, R",Benchmarking Large Language Models for Polymer Property Predictions,2026,MACROMOLECULAR RAPID COMMUNICATIONS,9,10.1002/marc.202500388,Article,,WOS:001591859600001
"Yun, S; Pei, JH; Wang, P",TOAST: Task-Oriented Adaptive Semantic Transmission Over Dynamic Wireless Environments,2026,IEEE TRANSACTIONS ON NETWORK SCIENCE AND ENGINEERING,3,10.1109/TNSE.2025.3604633,Article,,WOS:001649694200035
"Wang, YH; Hu, K; Dai, P; Liu, JJ",Image-free single-pixel sensing for human pose estimation and parameter-efficient fine-tuning,2026,OPTICS LETTERS,1,10.1364/OL.589690,Letter,,WOS:001756915800018
