blind_id,title,authors,year,venue,abstract,second_screener_decision,second_screener_notes
S001,tLoRA: Efficient Multi-LoRA Training with Elastic Shared Super-Models,Kevin Li; Dibyadeep Saha; Avni Kanodia; Fan Lai,2026,arXiv.org,"As Low-Rank Adaptation (LoRA) becomes the standard approach for efficiently fine-tuning large language models (LLMs), shared clusters increasingly execute many concurrent LoRA training jobs over the same frozen backbone. While recent advances enable batching (co-locating) multiple adapters during serving, efficient training-time co-location of heterogeneous LoRA adapters presents unique challenges. Jobs often differ in adapter rank, batch size, and resource allocation, and na\""ive batching can introduce synchronization stalls, communication overheads, and per-job slowdowns that are worse than executing independently. We introduce tLoRA, a framework that enables efficient batch training of multiple LoRA jobs. tLoRA fuses adapters that share the same base model into an elastic shared super-model, exploiting existing distributed training frameworks to derive parallelism plans that share resources effectively. At the kernel level, tLoRA employs a fused LoRA kernel that adaptively reconstructs low-rank computation tiles and schedules rank-aware nano-batches to maximize overlap between computation and communication across adapters. At the scheduling layer, tLoRA incorporates an online, residual-capacity-aware scheduler that adaptively groups jobs to maximize collective throughput. Evaluations using real-world cluster traces demonstrate that tLoRA improves training throughput by 1.2--1.8x, job training completion time by 2.3--5.4x, and GPU utilization by 37%.",,
S002,Exploring the Viability of Sequence-to-Sequence Models for Automatic Speech Recognition in Peer-to-Peer Learning Environments,Robert Šajina and Ivo Ipšić,2024,"2024 8th International Conference on Computer, Software and Modeling (ICCSM)","Sequence-to-sequence (Seq2Seq) models have become a cornerstone in natural language processing (NLP) and se-quence generation tasks, with applications ranging from machine translation to automatic speech recognition (ASR). While these models are well-studied in centralized and federated learning contexts, their application in peer-to-peer (P2P) deep learning remains underexplored. This study investigates the feasibility of deploying Seq2Seq models for ASR tasks in P2P environments, where agents, such as edge devices, train local models using private datasets and exchange these models directly with peers. Using the UserLibri and LJ Speech datasets, we simulate P2P learning with different communication strategies, assessing model performance using the Word Error Rate (WER) metric. Our findings reveal that while P2P learning requires more iterations to achieve convergence compared to centralized training, Seq2Seq models can be effectively utilized in such decentralized settings. The experiments highlight the critical role of local data availabil-ity in model performance, suggesting that the quantity of local data significantly impacts WER.",,
S003,Low Rank Adaptation Enables Efficient Domain Transfer in Billion Parameter Language Models,Jie Yang,2026,Computer Life,"The rapid growth of billion-parameter language models has transformed natural language processing (NLP), yet deploying these models across specialized domains remains constrained by the prohibitive cost of full fine-tuning. Low-rank adaptation (LoRA) has emerged as a leading parameter-efficient fine-tuning (PEFT) approach that restricts weight updates to low-dimensional matrix products, dramatically reducing trainable parameter counts without sacrificing downstream performance. This review synthesizes theoretical foundations, algorithmic advances, and empirical findings concerning LoRA and its derivatives as applied to large language models (LLMs) in domain transfer settings. We examine how rank decomposition enables adaptation across biomedical text mining, legal document analysis, code generation, and financial analytics, surveying evidence that LoRA-based methods match full fine-tuning while updating fewer than one percent of total model parameters. Variants including QLoRA, AdaLoRA, LoRA+, and DoRA are analyzed with respect to their contributions in quantization, adaptive rank allocation, and optimization refinement. The theoretical basis in intrinsic dimensionality that justifies low-rank approximations is discussed alongside practical considerations of rank selection, target module choice, and multi-task deployment. By consolidating findings from sixty recent studies, this paper offers a structured understanding of when and why LoRA succeeds, identifies persistent limitations, and delineates promising directions for future work in efficient domain transfer.",,
S004,QA-LoRA: Quantization-Aware Low-Rank Adaptation of Large Language Models,Yuhui Xu et al.,2023,International Conference on Learning Representations,"Recently years have witnessed a rapid development of large language models (LLMs). Despite the strong ability in many language-understanding tasks, the heavy computational burden largely restricts the application of LLMs especially when one needs to deploy them onto edge devices. In this paper, we propose a quantization-aware low-rank adaptation (QA-LoRA) algorithm. The motivation lies in the imbalanced degrees of freedom of quantization and adaptation, and the solution is to use group-wise operators which increase the degree of freedom of quantization meanwhile decreasing that of adaptation. QA-LoRA is easily implemented with a few lines of code, and it equips the original LoRA with two-fold abilities: (i) during fine-tuning, the LLM's weights are quantized (e.g., into INT4) to reduce time and memory usage; (ii) after fine-tuning, the LLM and auxiliary weights are naturally integrated into a quantized model without loss of accuracy. We apply QA-LoRA to the LLaMA and LLaMA2 model families and validate its effectiveness in different fine-tuning datasets and downstream scenarios. Code will be made available at https://github.com/yuhuixu1993/qa-lora.",,
S005,CaraServe: CPU-Assisted and Rank-Aware LoRA Serving for Generative LLM Inference,Suyi Li et al.,2024,ArXiv,"Pre-trained large language models (LLMs) often need specialization for domain-specific tasks. Low-Rank Adaptation (LoRA) is a popular approach that adapts a base model to multiple tasks by adding lightweight trainable adapters. In this paper, we present CaraServe, a system that efficiently serves many LoRA adapters derived from a common base model. CaraServe maintains the base model on GPUs and dynamically loads activated LoRA adapters from main memory. As GPU loading results in a cold-start that substantially delays token generation, CaraServe employs a CPU-assisted approach. It early starts the activated adapters on CPUs for prefilling as they are being loaded onto GPUs; after loading completes, it then switches to the GPUs for generative LoRA inference. CaraServe develops a highly optimized synchronization mechanism to efficiently coordinate LoRA computation on the CPU and GPU. Moreover, CaraServe employs a rank-aware scheduling algorithm to optimally schedule heterogeneous LoRA requests for maximum service-level objective (SLO) attainment. We have implemented CaraServe and evaluated it against state-of-the-art LoRA serving systems. Our results demonstrate that CaraServe can speed up the average request serving latency by up to 1.4$\times$ and achieve an SLO attainment of up to 99%.",,
S006,Weighted Lasso Regression with Soft Erosion for Guided Image Filtering,"Yang Y., Ye S., Gao W., Zeng L., Wang X.",2026,"Circuits, Systems, and Signal Processing","The guided image filter is a prevalent image smoothing technique that can be applied to a variety of low-level vision tasks. However, it suffers from the luminance and detail halo artifacts. Existing adaptations of the guided image filter fail to consider these artifacts in a unified framework. In this paper, we propose an edge-aware weighted lasso regression model for guided image filtering. Compared to the ridge regression in the original guided image filter, the weighted lasso regression imposes sparser regularization and incorporates edge-aware weights, thus alleviating the luminance halos. Furthermore, we propose a novel soft erosion scheme to fuse the linear coefficients derived from the weighted lasso regression. The soft erosion scheme reduces the instabilities of the regression around the salient edges, thus being effective in suppressing the detail halo artifacts. Finally, we propose an iterative filtering scheme that further alleviates the luminance and detail halo artifacts. We have conducted experiments across various application scenarios, including image smoothing, HDR tone mapping, JPEG compression artifact removal, texture removal, and detail enhancement, both qualitative and quantitative results suggest the superiority of the proposed filter over the state-of-the-art guided image filters. Furthermore, our filter is efficient, it renders interactive smoothing of 720P 3-channel color images. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2025.",,
S007,InfiniLoRA: Disaggregated Multi-LoRA Serving for Large Language Models,Hongyu Chen; L. Ruan; Zi-Ang Xu; Yuchen Li,2026,,"LoRA enables efficient customization of LLMs and is widely used in multi-tenant and multi-task serving. However, emerging model architectures such as MoE significantly increase LoRA memory cost, making existing coupled LoRA serving designs poorly scalable and prone to tail-latency inflation. We present InfiniLoRA, a disaggregated LoRA serving system that decouples LoRA execution from base-model inference. InfiniLoRA introduces a shared LoRA Server with parallelism-aware execution, SLO-driven provisioning, and critical-path optimizations, including GPU-initiated communication and hardware-specialized LoRA kernels. Experiments show that InfiniLoRA can achieve an average $3.05\times$ increase in serviceable request rate under strict latency SLOs, and improve the percentage of LoRA adapters satisfying the SLO requirement by 54.0\%.",,
S008,"Toppings: CPU-Assisted, Rank-Aware Adapter Serving for LLM Inference",Suyi Li et al.,2025,USENIX Annual Technical Conference,[TLDR] A system that efficiently serves many LoRA adapters derived from a common base LLM that improves the average request serving latency by up to 1 .,,
S009,FedTreeLoRA: Reconciling Statistical and Functional Heterogeneity in Federated LoRA Fine-Tuning,Jieming Bian; Lei Wang; Letian Zhang; Jie Xu,2026,,"Federated Learning (FL) with Low-Rank Adaptation (LoRA) has become a standard for privacy-preserving LLM fine-tuning. However, existing personalized methods predominantly operated under a restrictive Flat-Model Assumption: they addressed client-side \textit{statistical heterogeneity} but treated the model as a monolithic block, ignoring the \textit{functional heterogeneity} across LLM layers. We argue that these two statistical (horizontal) and functional (vertical) dimensions, are \textit{orthogonal in source yet coupled in interaction}, implying that the optimal depth of parameter sharing is functionally dependent on client similarity. To address this, we propose \textbf{FedTreeLoRA}, a framework employing tree-structured aggregation for fine-grained, layer-wise alignment. By dynamically constructing an aggregation hierarchy, FedTreeLoRA allows clients to share broad consensus on shallow `trunks'while progressively specializing on deep `branches'. Experiments on NLU and NLG benchmarks demonstrate that FedTreeLoRA significantly outperforms state-of-the-art methods by effectively reconciling generalization and personalization.",,
S010,Online Location Planning for AI-Defined Vehicles: Optimizing Joint Tasks of Order Serving and Spatio-Temporal Heterogeneous Model Fine-Tuning,"Zheng B., Rao B., Zhu T., Tan C.W., Duan J., Zhou Z., Chen X., Zhang X.",2026,IEEE Transactions on Mobile Computing,"Advances in artificial intelligence (AI) including foundation models (FMs), are increasingly transforming human society, with smart city driving the evolution of urban living. Meanwhile, vehicle crowdsensing (VCS) has emerged as a key enabler, leveraging vehicles’ mobility and sensor-equipped capabilities. In particular, ride-hailing vehicles can effectively facilitate flexible data collection and contribute towards urban intelligence, despite resource limitations. Therefore, this work explores a promising scenario, where edge-assisted vehicles perform joint tasks of order serving and the emerging foundation model fine-tuning using various urban data. However, integrating the VCS AI task with the conventional order serving task is challenging, due to their inconsistent spatio-temporal characteristics: (i) The distributions of ride orders and data point-of-interests (PoIs) may not coincide in geography, both following a priori unknown patterns; (ii) they have distinct forms of temporal effects, i.e., prolonged waiting makes orders become instantly invalid while data with increased staleness gradually reduces its utility for model fine-tuning. To overcome these obstacles, we propose an online framework based on multi-agent reinforcement learning (MARL) with careful augmentation. A new quality-of-service (QoS) metric is designed to characterize and balance the utility of the two joint tasks, under the effects of varying data volumes and staleness. We also integrate graph neural networks (GNNs) with MARL to enhance state representations, capturing graph-structured, time-varying dependencies among vehicles and across locations. Extensive experiments on our testbed simulator, utilizing various real-world foundation model fine-tuning tasks and the New York City Taxi ride order dataset, demonstrate the advantage of our proposed method. © 2002-2012 IEEE.",,
