blind_id,title,doi,arxiv_id,first_screener_decision
S001,tLoRA: Efficient Multi-LoRA Training with Elastic Shared Super-Models,10.48550/arXiv.2602.07263,2602.07263,INCLUDE
S002,Exploring the Viability of Sequence-to-Sequence Models for Automatic Speech Recognition in Peer-to-Peer Learning Environments,10.1109/ICCSM63823.2024.00016,,INCLUDE
S003,Low Rank Adaptation Enables Efficient Domain Transfer in Billion Parameter Language Models,10.54097/6w0gxa44,,INCLUDE
S004,QA-LoRA: Quantization-Aware Low-Rank Adaptation of Large Language Models,10.48550/arXiv.2309.14717,2309.14717,INCLUDE
S005,CaraServe: CPU-Assisted and Rank-Aware LoRA Serving for Generative LLM Inference,10.48550/arXiv.2401.11240,2401.11240,INCLUDE
S006,Weighted Lasso Regression with Soft Erosion for Guided Image Filtering,10.1007/s00034-025-03274-8,,INCLUDE
S007,InfiniLoRA: Disaggregated Multi-LoRA Serving for Large Language Models,,2604.07173,INCLUDE
S008,"Toppings: CPU-Assisted, Rank-Aware Adapter Serving for LLM Inference",,,INCLUDE
S009,FedTreeLoRA: Reconciling Statistical and Functional Heterogeneity in Federated LoRA Fine-Tuning,,2603.13282,INCLUDE
S010,Online Location Planning for AI-Defined Vehicles: Optimizing Joint Tasks of Order Serving and Spatio-Temporal Heterogeneous Model Fine-Tuning,10.1109/TMC.2025.3608179,,INCLUDE
S011,Distributed Inference Software for Large Language Models,10.1109/ICANCS65819.2025.11377729,,INCLUDE
S012,Comparative Analysis and Optimization of LoRA Adapter Co-serving for Large Language Models,10.1145/3704440.3704777,,INCLUDE
S013,AuLoRA: Fine-Grained Loading and Computation Orchestration for Efficient LoRA LLM Serving,10.1109/ICCD65941.2025.00046,,INCLUDE
S014,Edge-consensus Learning: Deep Learning on P2P Networks with Nonhomogeneous Data,10.1145/3394486.3403109,,INCLUDE
S015,HEXGEN: Generative Inference of Large Language Model over Heterogeneous Environment,,,INCLUDE
S016,Binary video snapshot compressive imaging with multiscale fusion,10.1117/1.JEI.34.4.043041,,INCLUDE
S017,Towards Federated Low-Rank Adaptation of Language Models with Rank Heterogeneity,10.18653/v1/2025.naacl-short.30,,INCLUDE
S018,LLMGuard : Safeguarding Real-Time Inference for Large Language Models on Edge Devices,10.1145/3799230,,INCLUDE
S019,"Adapt Once, Thrive with Updates: Transferable Parameter-Efficient Fine-Tuning on Evolving Base Models",10.18653/v1/2025.acl-long.719,,INCLUDE
S020,Parameter-efficient Multi-task Fine-tuning for Transformers via Shared Hypernetworks,10.18653/v1/2021.acl-long.47,,INCLUDE
S021,"Idle Consumer GPUs as a Complement to Enterprise Hardware for LLM Inference: Performance, Cost and Carbon Analysis",10.1145/3775043.3775047,,INCLUDE
S022,AFedLF: Adaptive Layer Freezing of Foundation Models in Heterogeneous Federated Learning,10.1109/TMC.2025.3632655,,INCLUDE
S023,Federated Fine-Tuning on Heterogeneous Devices with Adaptive Quantization and LoRA Depths,10.1109/ICPADS67057.2025.11323139,,INCLUDE
S024,Memory Efficient Continual Learning with Transformers,10.52202/068431-0772,,INCLUDE
S025,"IPFS - Content Addressed, Versioned, P2P File System",,,INCLUDE
S026,KronA: Parameter Efficient Tuning with Kronecker Adapter,10.48550/arXiv.2212.10650,2212.10650,INCLUDE
S027,GShard: Scaling Giant Models with Conditional Computation and Automatic Sharding,,,INCLUDE
S028,D2: Decentralized Training over Decentralized Data,,,INCLUDE
S029,M\'elange: Cost Efficient Large Language Model Serving by Exploiting GPU Heterogeneity,10.48550/arXiv.2404.14527,2404.14527,INCLUDE
S030,Low-Rank Quantization-Aware Training for LLMs,10.48550/arXiv.2406.06385,2406.06385,INCLUDE
S031,Linear Convergent Decentralized Optimization with Compression,,,INCLUDE
S032,LoRAMoE: Alleviating World Knowledge Forgetting in Large Language Models via MoE-Style Plugin,10.18653/v1/2024.acl-long.106,,INCLUDE
S033,Low-Rank Adaptation for Foundation Models: A Comprehensive Review,10.48550/arXiv.2501.00365,2501.00365,INCLUDE
S034,Efficient Voice-Based Product Ordering via Lightweight Language Models with Low-Rank Adaptation,10.1007/978-3-032-15621-1_25,,INCLUDE
S035,Parameter-Efficient Fine-Tuning of Foundation Models for CLP Speech Classification,10.1109/APSIPAASC65261.2025.11248999,,INCLUDE
S036,BladeLoRA: An Enhanced LoRA Method with Adaptive Rank Selection and Pruning for Efficient Fine-Tuning,10.1007/978-3-032-02899-0_6,,INCLUDE
S037,Scaling Down to Scale Up: A Guide to Parameter-Efficient Fine-Tuning,,,INCLUDE
S038,Decentralized learning works: An empirical comparison of gossip learning and federated learning,10.1016/j.jpdc.2020.10.006,,INCLUDE
S039,"DéjàVu: KV-cache Streaming for Fast, Fault-tolerant Generative LLM Serving",10.48550/arXiv.2403.01876,2403.01876,INCLUDE
S040,Predictive-LoRA: A Proactive and Fragmentation-Aware Serverless Inference System for LLMs,10.1145/3795154.3795359,2512.20210,INCLUDE
S041,Decentralized Low-Rank Fine-Tuning of Large Language Models,10.48550/arXiv.2501.15361,2501.15361,INCLUDE
S042,ReMoE: Fully Differentiable Mixture-of-Experts with ReLU Routing,10.48550/arXiv.2412.14711,2412.14711,INCLUDE
S043,"CAMEL: Communicative Agents for ""Mind"" Exploration of Large Language Model Society",10.52202/075280-2264,2303.17760,INCLUDE
S044,P2P-Fed: A Decentralized Federated Learning Platform on Structured Peer-to-Peer Systems,10.1109/ccgrid64434.2025.00013,,INCLUDE
S045,Prompt Inference Attack on Distributed Large Language Model Inference Frameworks,10.1145/3719027.3744820,,INCLUDE
S046,SOLAR: Communication-Efficient Model Adaptation via Subspace-Oriented Latent Adapter Reparametrization,,2604.08368,INCLUDE
S047,dLoRA: Dynamically Orchestrating Requests and Adapters for LoRA LLM Serving,,,INCLUDE
S048,Adapters: A Unified Library for Parameter-Efficient and Modular Transfer Learning,10.48550/arXiv.2311.11077,2311.11077,INCLUDE
S049,QDyLoRA: Quantized Dynamic Low-Rank Adaptation for Efficient Large Language Model Tuning,10.48550/arXiv.2402.10462,2402.10462,INCLUDE
S050,FourierMoE: Fourier Mixture-of-Experts Adaptation of Large Language Models,,2604.01762,INCLUDE
S051,An Empirical Study of Parameter-Efficient Fine-Tuning in Code Change Learning and Beyond,10.1109/TSE.2025.3637335,,INCLUDE
