blind_id,title,authors,year,venue,abstract,second_screener_decision,second_screener_notes
S001,FedMCP: Parameter-Efficient Federated Learning with Model-Contrastive Personalization,"Zhao Q., Qu C., Chen C., Fan M., Wang Y.",2024,2024 IEEE 30th International Conference on Parallel and Distributed Systems (ICPADS),,,
S002,"AdaPrefix++: Integrating Adapters, Prefixes and Hypernetwork for Continual Learning","Sayanta Adhikari, Dupati Srikar Chandra, P. Srijith, P. Wasnik, and N. Onoe",2025,2025 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),,,
S003,ApiQ: Finetuning of 2-Bit Quantized Large Language Model,Baohao Liao and C. Monz,2024,Conference on Empirical Methods in Natural Language Processing,,,
S004,Decentralised Learning in Federated Deployment Environments,"Bellavista P., Foschini L., Mora A.",2021,ACM Computing Surveys (CSUR) 54,,,
S005,DoRA: Weight-Decomposed Low-Rank Adaptation,"Liu S.-Y., Wang C.-Y., Yin H., Molchanov P., Wang Y.-C.F., Cheng K.-T., Chen M.-H.",2024,International Conference on Machine Learning,,,
S006,FedALT: Federated Fine-Tuning through Adaptive Local Training with Rest-of-the-World LoRA,Jieming Bian; Lei Wang; Letian Zhang; Jie Xu,2025,AAAI Conference on Artificial Intelligence,,,
S007,Totoro: A Scalable Federated Learning Engine for the Edge,Cheng-Wei Ching et al.,2024,Proceedings of the Nineteenth European Conference on Computer Systems,,,
S008,PC-MoE: memory-efficient and privacy-preserving collaborative training for Mixture-of-Experts LLMs,"Z. Zhang, Bolin Ding, and K. H. Low",2025,Machine Learning 115,,,
S009,Demons in the Detail: On Implementing Load Balancing Loss for Training Specialized Mixture-of-Expert Models,Zihan Qiu et al.,2025,Annual Meeting of the Association for Computational Linguistics,,,
S010,Birds in Cages: Edge Inference Allocation for Distributed LLM Deployment,Zhu J.,2025,IEEE International Workshop on Quality of Service Iwqos,,,
S011,Implicit model specialization through dag-based decentralized federated learning,Jossekin Beilharz et al.,2021,Proceedings of the 22nd International Middleware Conference,,,
S012,Not All Directions Matter: Toward Structured and Task-Aware Low-Rank Adaptation,Xi Xiao; Chenrui Ma; Yunbei Zhang; Chen Liu,2026,,,,
S013,LoraHub: Efficient Cross-Task Generalization via Dynamic LoRA Composition,Chengsong Huang; Qian Liu; Bill Yuchen Lin; Tianyu Pang; Chao Du; Min Lin,2023,ArXiv,,,
S014,Parameter-efficient fine-tuning of large-scale pre-trained language models,"Ding N., Qin Y., Yang G., Wei F., Yang Z., Su Y., Hu S., Chen Y., Chan C.-M., Chen W., Yi J., Zhao W., Wang X., Liu Z., Zheng H.-T., Chen J., Liu Y., Tang J., Li J., Sun M.",2023,Nature Machine Intelligence,,,
S015,Peer-to-Peer Deep Learning,Šajina,2021,University of Rijeka Doctoral Thesis 2021,,,
S016,Towards Modular LLMs by Building and Reusing a Library of LoRAs,"Ostapenko O., Su Z., Ponti E.M., Charlin L., Le Roux N., Caccia L., Sordoni A.",2024,International Conference on Machine Learning,,,
S017,An Empirical Study of Parameter-Efficient Fine-Tuning in Code Change Learning and Beyond,Liu S.,2026,IEEE Transactions on Software Engineering,,,
S018,Parameter-efficient Weight Ensembling Facilitates Task-level Knowledge Transfer,"Xingtai Lv, Ning Ding, Yujia Qin, Zhiyuan Liu, and Maosong Sun",2023,Annual Meeting of the Association for Computational Linguistics,,,
S019,Scaling Federated Learning for Fine-tuning of Large Language Models,Agrin Hilmkil et al.,2021,International Conference on Applications of Natural Language to Data Bases,,,
S020,Multi-task Peer-to-Peer Learning using Encoder-only Transformers,Šajina et al.,2024,"Future Generation Computer Systems (Elsevier Q1, Vol. 141, 2023)",,,
S021,Decentralized federated learning of deep neural networks on non-iid data,"Noa Onoszko, Gustav Karlsson, Olof Mogren, and Edvin Listo Zec",2021,ArXiv,,,
S022,Federated Low-Rank Adaptation for Large Language Model Fine-Tuning Over Wireless Networks,"Wang Z., Zhou Y., Shi Y., Letaief K.B.",2024,GLOBECOM 2024 - 2024 IEEE Global Communications Conference,,,
S023,Towards Efficient Generative Large Language Model Serving: A Survey from Algorithms to Systems,Miao X.,2025,ACM Computing Surveys,,,
S024,Federated Large Language Models: Current Progress and Future Directions,Yuhang Yao et al.,2024,ArXiv,,,
S025,SLoRA: Federated Parameter Efficient Fine-Tuning of Language Models,Sara Babakniya; Ahmed Roushdy Elkordy; Yahya H. Ezzeldin; Qingfeng Liu; Kee-Bong Song; Mostafa El-Khamy; Salman Avestimehr,2023,ArXiv,,,
S026,Adaptive Budget Allocation for Parameter-Efficient Fine-Tuning,Qingru Zhang et al.,2023,ArXiv,,,
S027,"Fine-Tune Smarter, Not Harder: Parameter-Efficient Fine-Tuning for Geospatial Foundation Models",Marti Escofet F.,2026,Lecture Notes in Computer Science,,,
S028,AlpaServe: Statistical Multiplexing with Model Parallelism for Deep Learning Serving,Zhuohan Li et al.,,,,,
S029,MAdaKron: A mixture-of-AdaKron adapters,Braga M.,2026,Knowledge Based Systems,,,
S030,Federated Fine-tuning of Large Language Models under Heterogeneous Tasks and Client Resources,"Bai J., Chen D., Qian B., Yao L., Li Y.",2024,Advances in Neural Information Processing Systems 37,,,
S031,MoS: Unleashing Parameter Efficiency of Low-Rank Adaptation with Mixture of Shards,Sheng Wang; Liheng Chen; Pengan Chen; Jingwei Dong,2024,International Conference on Learning Representations,,,
S032,SGLang: Efficient Execution of Structured Language Model Programs,Lianmin Zheng et al.,2023,Advances in Neural Information Processing Systems 37,,,
S033,Pushing Mixture of Experts to the Limit: Extremely Parameter Efficient MoE for Instruction Tuning,"Zadouri T., Üstün A., Ahmadian A., Ermiş B., Locatelli A., Hooker S.",2023,International Conference on Learning Representations,,,
S034,Pruning Adatperfusion with Lottery Ticket Hypothesis,"Jiarun Wu, Qingliang Chen, Zeguan Xiao, Yuliang Gu, and Mengsi Sun",2022,NAACL-HLT,,,
S035,L4Q: Parameter Efficient Quantization-Aware Fine-Tuning on Large Language Models,"Hyesung Jeon, Yulhwa Kim, and Jae-Joon Kim",2024,Annual Meeting of the Association for Computational Linguistics,,,
S036,FedPETuning: When Federated Learning Meets the Parameter-Efficient Tuning Methods of Pre-trained Language Models,"Zhang Z., Yang Y., Dai Y., Wang Q., Yu Y., Qu L., Xu Z.",2022,Annual Meeting of the Association for Computational Linguistics,,,
S037,SLoRA: Scalable Serving of Thousands of LoRA Adapters,,2024,Conference on Machine Learning and Systems,,,
S038,Distributed Inference with Deep Learning Models across Heterogeneous Edge Devices,"Hu C., Li B.",2022,IEEE INFOCOM 2022 - IEEE Conference on Computer Communications,,,
S039,Memory Efficient Continual Learning with Transformers,"Ermis B., Zappella G., Wistuba M., Rawal A., Archambeau C.",2022,Advances in Neural Information Processing Systems 35,,,
