Authors,Title,Year,Source title,Cited by,DOI,Document Type,Open Access,EID,matched_queries
Paul S.; Maiti P.S.; Sahoo K.; Keshari B.; Dhar T.K.; Ghorai U.K.," Emerging 2D Materials for Green Ammonia Electrosynthesis: Integrating Experimental, Computation, and Machine Learning Strategies Toward Commercialization",2026,ChemSusChem,0,10.1002/cssc.202502111,Review,,2-s2.0-105039629486,Q3
Saha H.; Saha G.C.; Ahuchogu M.C.; Kulkarni S.V.; Pingat S.P.; Howard D.E.,""" 6G Wireless Communication: Advancements in Signal Processing and AI Integration.""",2026,Dianwang Jishu/Power System Technology,2,10.52783/PST.1654,Article,All Open Access; Bronze Open Access,2-s2.0-105035252447,Q3
Chakkaravarthy G.V.; Pavithira S.,'Attribute-Based Blockchain Framework' for Privacy-Preserving Access to PHR in Cloud Environment,2026,"2026 International Conference on Innovations in Emerging Technologies for Sustainable Development: Empowering Innovation for a Sustainable Future, ICIETSD 2026 - Conference Proceedings",0,10.1109/ICIETSD68684.2026.11584770,Conference paper,,2-s2.0-105045447580,Q3
Wu B.; Huang J.; Yu S.,'X of Information' Continuum: A Survey on AI-Driven Multi-Dimensional Metrics for Next-Generation Networked Systems,2026,IEEE Communications Surveys and Tutorials,9,10.1109/COMST.2026.3670279,Article,,2-s2.0-105033012318,Q3
,"13th CIRP Global Web Conference, CIRPe 2025",2026,Procedia CIRP,0,,Conference review,,2-s2.0-105033039786,Q3;Q7
Talluri N.; Lingamanaidukandriga Mandhidi B.; Gaddam K.,1695: FAIRNESS AWARE PERSONALIZED AI FOR PREDICTING ICU DISCHARGE DISPOSITION ACROSS HOSPITALS,2026,Critical Care Medicine,0,10.1097/01.ccm.0001188776.54536.5d,Article,,2-s2.0-105039212460,Q3
,"1st International Conference on Intelligent Computing, Networks and Security, IC-ICNS 2026",2026,"1st International Conference on Intelligent Computing, Networks and Security, IC-ICNS 2026",0,,Conference review,,2-s2.0-105042269978,Q3
,"2025 International Conference on Deep Learning and Neural Networks, DLNN 2025",2026,Journal of Physics: Conference Series,0,,Conference review,,2-s2.0-105036124975,Q3
,"2026 11th International Conference on Information and Network Technologies, ICINT 2026",2026,"2026 11th International Conference on Information and Network Technologies, ICINT 2026",0,,Conference review,,2-s2.0-105042935383,Q3
,"2026 1st International Conference on Innovations in Information and Communication Technologies, IICT 2026",2026,"2026 1st International Conference on Innovations in Information and Communication Technologies, IICT 2026",0,,Conference review,,2-s2.0-105037526075,Q3
,"2026 2nd International Conference on Artificial Intelligence Systems, AIS 2026",2026,"2026 2nd International Conference on Artificial Intelligence Systems, AIS 2026",0,,Conference review,,2-s2.0-105046961825,Q3
,"2026 6th International Conference on Machine Learning and Intelligent Systems Engineering, MLISE 2026",2026,"2026 6th International Conference on Machine Learning and Intelligent Systems Engineering, MLISE 2026",0,,Conference review,,2-s2.0-105046375038,Q4
,"2026 IEEE 27th International Conference on High Performance Switching and Routing, HPSR 2026",2026,"IEEE International Conference on High Performance Switching and Routing, HPSR",0,,Conference review,,2-s2.0-105046766028,Q3
,"2026 IEEE Vehicular Networking Conference, VNC 2026",2026,"IEEE Vehicular Networking Conference, VNC",0,,Conference review,,2-s2.0-105047476665,Q3
,"2026 International Conference on 6G: AI-Native Networks, Emerging Technologies, and Future Applications, 6G-ANETA 2026",2026,"2026 International Conference on 6G: AI-Native Networks, Emerging Technologies, and Future Applications, 6G-ANETA 2026",0,,Conference review,,2-s2.0-105047370107,Q3
,"2026 International Conference on Advances in Artificial Intelligence and Machine Learning, AAIML 2026",2026,"2026 International Conference on Advances in Artificial Intelligence and Machine Learning, AAIML 2026",0,,Conference review,,2-s2.0-105040562360,Q3
,"2026 International Conference on Computing Theory and Wireless Communications, ICCTWC 2026",2026,"2026 International Conference on Computing Theory and Wireless Communications, ICCTWC 2026",0,,Conference review,,2-s2.0-105045500283,Q3
,"2026 International Conference on Computing, Networking and Communications, ICNC 2026",2026,"2026 International Conference on Computing, Networking and Communications, ICNC 2026",0,,Conference review,,2-s2.0-105035743637,Q3
,"2026 International Conference on Data Science for Cyber-Physical Systems Resilience using Advanced Applications, ICDCA 2026",2026,"2026 International Conference on Data Science for Cyber-Physical Systems Resilience using Advanced Applications, ICDCA 2026",0,,Conference review,,2-s2.0-105047599176,Q3
,"2026 International Conference on ICT and Photonics, ICTP 2026: Advancing ICT Photonics for a Smarter, Sustainable World - Proceedings",2026,"2026 International Conference on ICT and Photonics, ICTP 2026: Advancing ICT Photonics for a Smarter, Sustainable World - Proceedings",0,,Conference review,,2-s2.0-105038361746,Q3
,"2026 International Conference on IT and Industrial Technologies, ICIT 2026",2026,"2026 International Conference on IT and Industrial Technologies, ICIT 2026",0,,Conference review,,2-s2.0-105044745199,Q3
,"2026 International Conference on Integrated Intelligence and Cognitive Engineering, ICIICE 2026",2026,"2026 International Conference on Integrated Intelligence and Cognitive Engineering, ICIICE 2026",0,,Conference review,,2-s2.0-105043699541,Q3
,"2026 International Conference on Smart Applications, Communications and Networking, SmartNets 2026",2026,"2026 International Conference on Smart Applications, Communications and Networking, SmartNets 2026",0,,Conference review,,2-s2.0-105045863972,Q3
,"2026 International Conference on Smart Futuristic Technology, ICSFT 2026",2026,"2026 International Conference on Smart Futuristic Technology, ICSFT 2026",0,,Conference review,,2-s2.0-105041627742,Q3
,"2026 International Conference on Smart Multidomain Integrated Learning Environments, ICSMILE 2026",2026,"2026 International Conference on Smart Multidomain Integrated Learning Environments, ICSMILE 2026",0,,Conference review,,2-s2.0-105041473488,Q7
,"2026 International Interdisciplinary Conference on Artificial Intelligence: Engineering, Health, Finance and Humanities, IICAI 2026",2026,"2026 International Interdisciplinary Conference on Artificial Intelligence: Engineering, Health, Finance and Humanities, IICAI 2026",0,,Conference review,,2-s2.0-105047025665,Q3
Verma R.; Bisht B.; Yadav V.; Chhavi; Jha S.K.; Yogesh,2213 A Self-Evolving Federated Learning Framework for Privacy-Preserving AI Applications,2026,"Proceedings of the 2026 13th International Conference on Computing for Sustainable Global Development, INDIACom 2026",0,10.23919/INDIACom70271.2026.11526546,Conference paper,,2-s2.0-105041890817,Q3
,"23rd International Conference on Security and Cryptography, SECRYPT 2026",2026,Proceedings of the International Conference on Security and Cryptography,0,,Conference review,,2-s2.0-105048685929,Q3
Warman-Chardon J.; Straub V.; Vissing J.; Schlaeger S.; Kan H.E.; Carlier P.G.; Claeys K.; Froeling M.; Kan H.E.; Monforte M.; Morrow J.; Pichiecchio A.; Rauh S.S.; Reyngoudt H.; Santini F.; Schlaffke L.; Straub V.; Tasca G.; Thornton J.; Vissing J.; Walter G.; Warman-Chardon J.,"286th ENMC international workshop: Muscle imaging: artificial intelligence, automatic segmentation and imaging data sharing in neuromuscular disease. Hoofddorp, The Netherlands, 7-9 March 2025",2026,Neuromuscular Disorders,1,10.1016/j.nmd.2025.106304,Article,,2-s2.0-105027673377,Q3
Ma Y.; Cheng Q.; Liu Z.; Luo X.; Chen X.,2PCLGA: Privacy-Preserving and Provable-Secure Certificateless Group Key Agreement Scheme for the Distributed Learning-Based MEC Networks,2026,IEEE Transactions on Dependable and Secure Computing,0,10.1109/TDSC.2025.3632556,Article,,2-s2.0-105022084792,Q3
