Authors,Title,Year,Source title,Cited by,DOI,Document Type,Open Access,EID,matched_queries
Zhang X.,A Multi-Task Prompt Collaborative Optimization Method Based on LoRA Low-Rank Adapters,2026,"2026 6th International Conference on Machine Learning and Intelligent Systems Engineering, MLISE 2026",0,10.1109/MLISE70044.2026.11607632,Conference paper,,2-s2.0-105046365659,Q4
Huang Y.; Xiao X.; Zhang J.; Qi S.; Wu Y.; Wang X.,AWMA-MoE: Attention-Guided Watermark Adapter with MoE for Latent Diffusion Models,2026,WWW 2026 - Proceedings of the ACM Web Conference 2026,0,10.1145/3774904.3792903,Conference paper,All Open Access; Gold Open Access,2-s2.0-105038572075,Q4
Li Q.; Kong R.; Li Y.; Cai H.; Wang S.; Kong L.; Chen G.; Yin D.,AdaFuse: Accelerating Dynamic Adapter Inference via Token-Level Pre-Gating and Fused Kernel Optimization,2026,Proceedings of the AAAI Conference on Artificial Intelligence,0,10.1609/aaai.v40i37.40435,Conference paper,All Open Access; Gold Open Access,2-s2.0-105034967659,Q4
Wu F.; Hu J.; Min G.; Wang S.,Adaptive Rank Allocation for Federated Parameter-Efficient Fine-Tuning of Language Models,2026,IEEE Transactions on Computers,3,10.1109/TC.2026.3655161,Article,All Open Access; Green Open Access,2-s2.0-105029185817,Q1;Q3
Romer R.; Zhang Y.; Li Y.; Schoellig A.P.,CLARE: Continual Learning for Vision-Language-Action Models via Autonomous Adapter Routing and Expansion,2026,IEEE Robotics and Automation Letters,0,10.1109/LRA.2026.3693992,Article,All Open Access; Green Open Access; Hybrid Gold Open Access,2-s2.0-105039313053,Q4
Xu J.; Saravanan K.; Dalen R.V.; Mehmood H.; Tuckey D.; Ozay M.,DP-DyLoRA: Fine-Tuning Transformer-Based Models On-Device under Differentially Private Federated Learning using Dynamic Low-Rank Adaptation,2026,IEEE International Conference on Communications,0,10.1109/ICC59461.2026.11587764,Conference paper,All Open Access; Green Open Access,2-s2.0-105045412578,Q1
Borno M.N.A.; Shovon M.S.H.; Sikder M.H.; Rimi I.F.; Alahmadi T.J.; Moni M.A.,Decentralized LoRA augmented transformer with multi-scale feature learning for secured eye diagnosis,2026,Knowledge-Based Systems,0,10.1016/j.knosys.2026.115948,Article,,2-s2.0-105036315555,Q3
Wu J.; Chen Y.; Min Q.; Chen M.; Zhao J.; Ye M.,Domain-Adaptive Multimodal Large Language Models for Photovoltaic Fault Diagnosis via Dynamic LoRA Routing,2026,Processes,0,10.3390/pr14040653,Article,All Open Access; Gold Open Access,2-s2.0-105031265102,Q4
Xu R.; Chen L.; Lao H.; Zhang J.; Zhu X.,DyMerge-LoRA: On-GPU Post-Merge Fusion for High-Throughput Multi-Tenant Composite LoRA Serving,2026,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,0,10.1145/3770854.3780270,Conference paper,All Open Access; Gold Open Access,2-s2.0-105038082772,Q4
Li A.; Greenewald K.; Parnell T.; Azizan N.,Efficient Multi-Adapter LLM Serving via Cross-Model KV-Cache Reuse with Activated LoRA,2026,Transactions on Machine Learning Research,0,,Article,,2-s2.0-105048660277,Q2;Q4
