title,year,sources,venue_or_id
AdaFuse: Accelerating Dynamic Adapter Inference via Token-Level Pre-Gating and Fused Kernel Optimization,2026,Scopus;WoS,"Proceedings of the AAAI Conference on Artificial Intelligence;FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 37"
Adaptive Rank Allocation for Federated Parameter-Efficient Fine-Tuning of Language Models,2026,Scopus;WoS,IEEE Transactions on Computers;IEEE TRANSACTIONS ON COMPUTERS
CLARE: Continual Learning for Vision-Language-Action Models via Autonomous Adapter Routing and Expansion,2026,Scopus;WoS,IEEE Robotics and Automation Letters;IEEE ROBOTICS AND AUTOMATION LETTERS
Domain-Adaptive Multimodal Large Language Models for Photovoltaic Fault Diagnosis via Dynamic LoRA Routing,2026,Scopus;WoS,Processes;PROCESSES
DyMerge-LoRA: On-GPU Post-Merge Fusion for High-Throughput Multi-Tenant Composite LoRA Serving,2026,Scopus;WoS,"Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining;PROCEEDINGS OF THE 32ND ACM SIGKDD CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING VOL 1, KDD 2026"
Enhancing Aggregation Efficiency and Training Stability in Heterogeneous Federated Learning Using the Adaptive LoRA FL Framework,2026,Scopus;WoS,Journal of Advances in Information Technology;JOURNAL OF ADVANCES IN INFORMATION TECHNOLOGY
FedALT: Federated Fine-Tuning through Adaptive Local Training with Rest-of-World LoRA,2026,Scopus;WoS,"Proceedings of the AAAI Conference on Artificial Intelligence;FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 24"
FedFA: Efficient federated large language models with feature adapters,2026,Scopus;WoS,Expert Systems with Applications;EXPERT SYSTEMS WITH APPLICATIONS
FedHydra: Toward Parameter-Efficient and Backdoor-Resistant Federated Unlearning in Human-Centric Metaverse Service,2026,Scopus;WoS,IEEE Transactions on Services Computing;IEEE TRANSACTIONS ON SERVICES COMPUTING
MeLoRA: Probability measures-based low-rank adaptation with Gaussian variational inference,2026,Scopus;WoS,Knowledge-Based Systems;KNOWLEDGE-BASED SYSTEMS
MoE-FFD: Mixture of Experts for Generalized and Parameter-Efficient Face Forgery Detection,2026,Scopus;WoS,IEEE Transactions on Dependable and Secure Computing;IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING
Multi-Task Unified Domain Incremental Learning With Domain Difference Adapters,2026,Scopus;WoS,IEEE Transactions on Image Processing;IEEE TRANSACTIONS ON IMAGE PROCESSING
Multi-Task–Driven Adapter-Based Foundation Model for Locomotion Prediction in Virtual Reality,2026,Scopus;WoS,"ACM Transactions on Multimedia Computing, Communications and Applications;ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS"
PM-adapter: MoE based dynamic denoising fine-tuning for thermal infrared object detection,2026,Scopus;WoS,Neurocomputing;NEUROCOMPUTING
PrivLoRA: Enhancing Privacy in LoRA-Based Fine-Tuning of Large Language Models for Federated Learning,2026,Scopus;WoS,"2026 International Conference on Computing, Networking and Communications, ICNC 2026;2026 INTERNATIONAL CONFERENCE ON COMPUTING, NETWORKING AND COMMUNICATIONS, ICNC"
Spatiotemporal Context-Aware Prompting With Low-Rank Dynamic Routing for Exemplar-Free Video Class-Incremental Learning,2026,Scopus;WoS,IEEE Transactions on Neural Networks and Learning Systems;IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS
pFedLoRA: Model-Heterogeneous Personalized Federated Learning With Homogeneous Low-Rank Adapter Sharing on Mobile Edge Devices,2026,Scopus;WoS,IEEE Transactions on Mobile Computing;IEEE TRANSACTIONS ON MOBILE COMPUTING
A Multi-Task Prompt Collaborative Optimization Method Based on LoRA Low-Rank Adapters,2026,Scopus,"2026 6th International Conference on Machine Learning and Intelligent Systems Engineering, MLISE 2026"
A framework for efficient scientific diagram captioning using mixture-of-experts and low-rank adaptation,2026,WoS,SCIENTIFIC REPORTS
ACE: Adapter Consolidation across Experts for Parameter-Efficient Fine-Tuning of MoE LLMs,2026,arXiv,arXiv:2609.06072
AWMA-MoE: Attention-Guided Watermark Adapter with MoE for Latent Diffusion Models,2026,Scopus,WWW 2026 - Proceedings of the ACM Web Conference 2026
Alternating Aggregation Low-Rank Adaptation Approach for Federated Large Models,2026,WoS,"ADVANCED DATA MINING AND APPLICATIONS, ADMA 2025, PT I"
An enhanced low-rank fine-tuning framework for federated large language models,2026,WoS,NEUROCOMPUTING
Automated Federated Pipeline for Parameter-Efficient Fine-Tuning of Large Language Models,2026,WoS,IEEE TRANSACTIONS ON MOBILE COMPUTING
Beyond Full-Model Rollback: AuroSFT for Adapter-State Multi-Task Fine-Tuning,2026,arXiv,arXiv:2608.05250
BitLoRA: Quantization-Compatible Adapter Tuning for 1.58-bit LLM in Federated On-Device AI-Agent,2026,WoS,EXPERT SYSTEMS WITH APPLICATIONS
Breaking the Structural Identity: Personalized Federated LoRA Fine-tuning under Rank Heterogeneity,2026,arXiv,arXiv:2609.00632
CD-LoRA: Consistency-Driven Low-Rank Adaptation for Multi-Task Fine-Tuning,2026,arXiv,arXiv:2608.21909
CLEAR: Continuous Latent Adapter Routing for Utility-Preserving LLM Safety Alignment,2026,arXiv,arXiv:2608.21278
CoLoRA: A Collaborative Scheduling Framework for Multi-Tenant LoRA LLM Inference,2026,WoS,"2026 31ST ASIA AND SOUTH PACIFIC DESIGN AUTOMATION CONFERENCE, ASP-DAC"
D2MoRA: Diversity-Regulated Asymmetric MoE-LoRA Decomposition for Efficient Multi-Task Adaptation,2026,WoS,"FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 34"
DP-DyLoRA: Fine-Tuning Transformer-Based Models On-Device under Differentially Private Federated Learning using Dynamic Low-Rank Adaptation,2026,Scopus,IEEE International Conference on Communications
DP-HM2F: Data-driven LoRA with dual-projection representation for heterogeneous multimodal federated fine-tuning,2026,WoS,EXPERT SYSTEMS WITH APPLICATIONS
DeCAF: Decentralized consensus-and-factorization for low-rank adaptation of foundation models,2026,WoS,NEURAL NETWORKS
Decentralized LoRA augmented transformer with multi-scale feature learning for secured eye diagnosis,2026,Scopus,Knowledge-Based Systems
Dual-Adaptive SAM3: Hierarchical Routing over Low-Rank Expert Layers for Parameter-Efficient Medical Image Segmentation,2026,arXiv,arXiv:2607.02571
EPnG: Adaptive Expert Prune-and-Grow for Parameter-Efficient MoE Fine-tuning,2026,arXiv,arXiv:2607.01789
Echocardiography Report Translation and Inference Based on Parameter-Efficient Fine-Tuning of LLaMA Models,2026,WoS,DIAGNOSTICS
Efficient Multi-Adapter LLM Serving via Cross-Model KV-Cache Reuse with Activated LoRA,2026,Scopus,Transactions on Machine Learning Research
Efficient multi-tenant LoRA serving via SGMV-specific operator autotuning,2026,WoS,JOURNAL OF KING SAUD UNIVERSITY COMPUTER AND INFORMATION SCIENCES
Explainable multilingual NMT with adapters and mixture-of-experts: a study on low-resource Indic languages,2026,Scopus,International Journal of Speech Technology
Exploring Backdoor Attacks in Federated Learning Under Parameter-Efficient Fine Tuning,2026,WoS,"INFORMATION SECURITY, ISC 2025"
FLAGuard: Efficient Verifiable Federated LoRA of Large Language Models,2026,WoS,IEEE TRANSACTIONS ON MOBILE COMPUTING
