title,year,sources,venue_or_id,screening_rationale
AdaFuse: Accelerating Dynamic Adapter Inference via Token-Level Pre-Gating and Fused Kernel Optimization,2026,Scopus;WoS,"Proceedings of the AAAI Conference on Artificial Intelligence;FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 37",Multi-adapter LLM inference latency (Pillar 3)
Adaptive Rank Allocation for Federated Parameter-Efficient Fine-Tuning of Language Models,2026,Scopus;WoS,IEEE Transactions on Computers;IEEE TRANSACTIONS ON COMPUTERS,Federated PEFT for LMs (Pillar 2)
DyMerge-LoRA: On-GPU Post-Merge Fusion for High-Throughput Multi-Tenant Composite LoRA Serving,2026,Scopus;WoS,"Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining;PROCEEDINGS OF THE 32ND ACM SIGKDD CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING VOL 1, KDD 2026",Multi-tenant composite LoRA serving (Pillar 3)
Enhancing Aggregation Efficiency and Training Stability in Heterogeneous Federated Learning Using the Adaptive LoRA FL Framework,2026,Scopus;WoS,Journal of Advances in Information Technology;JOURNAL OF ADVANCES IN INFORMATION TECHNOLOGY,Federated LoRA framework
FedALT: Federated Fine-Tuning through Adaptive Local Training with Rest-of-World LoRA,2026,Scopus;WoS,"Proceedings of the AAAI Conference on Artificial Intelligence;FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 24",Federated LoRA for LLMs (already known via arXiv)
FedFA: Efficient federated large language models with feature adapters,2026,Scopus;WoS,Expert Systems with Applications;EXPERT SYSTEMS WITH APPLICATIONS,Federated LLM feature adapters
MeLoRA: Probability measures-based low-rank adaptation with Gaussian variational inference,2026,Scopus;WoS,Knowledge-Based Systems;KNOWLEDGE-BASED SYSTEMS,Core LoRA/PEFT method for LLMs (Pillar 1)
PrivLoRA: Enhancing Privacy in LoRA-Based Fine-Tuning of Large Language Models for Federated Learning,2026,Scopus;WoS,"2026 International Conference on Computing, Networking and Communications, ICNC 2026;2026 INTERNATIONAL CONFERENCE ON COMPUTING, NETWORKING AND COMMUNICATIONS, ICNC",Federated LoRA for LLMs (Pillar 2)
pFedLoRA: Model-Heterogeneous Personalized Federated Learning With Homogeneous Low-Rank Adapter Sharing on Mobile Edge Devices,2026,Scopus;WoS,IEEE Transactions on Mobile Computing;IEEE TRANSACTIONS ON MOBILE COMPUTING,Federated LoRA personalization (Pillar 2)
A Multi-Task Prompt Collaborative Optimization Method Based on LoRA Low-Rank Adapters,2026,Scopus,"2026 6th International Conference on Machine Learning and Intelligent Systems Engineering, MLISE 2026",Multi-task PEFT (LoRA+Prompt) for NLP (Pillar 1/2)
ACE: Adapter Consolidation across Experts for Parameter-Efficient Fine-Tuning of MoE LLMs,2026,arXiv,arXiv:2609.06072,PEFT+MoE for LLMs (Pillar 1/5)
Alternating Aggregation Low-Rank Adaptation Approach for Federated Large Models,2026,WoS,"ADVANCED DATA MINING AND APPLICATIONS, ADMA 2025, PT I",Federated LoRA for large models
An enhanced low-rank fine-tuning framework for federated large language models,2026,WoS,NEUROCOMPUTING,Federated LLM PEFT
Automated Federated Pipeline for Parameter-Efficient Fine-Tuning of Large Language Models,2026,WoS,IEEE TRANSACTIONS ON MOBILE COMPUTING,Federated PEFT pipeline for LLMs
Beyond Full-Model Rollback: AuroSFT for Adapter-State Multi-Task Fine-Tuning,2026,arXiv,arXiv:2608.05250,Multi-task adapter-state fine-tuning for LLMs (Pillar 1/2)
BitLoRA: Quantization-Compatible Adapter Tuning for 1.58-bit LLM in Federated On-Device AI-Agent,2026,WoS,EXPERT SYSTEMS WITH APPLICATIONS,Federated on-device LLM LoRA
Breaking the Structural Identity: Personalized Federated LoRA Fine-tuning under Rank Heterogeneity,2026,arXiv,arXiv:2609.00632,Federated LoRA under rank heterogeneity
CD-LoRA: Consistency-Driven Low-Rank Adaptation for Multi-Task Fine-Tuning,2026,arXiv,arXiv:2608.21909,Multi-task LoRA fine-tuning for LLMs
CLEAR: Continuous Latent Adapter Routing for Utility-Preserving LLM Safety Alignment,2026,arXiv,arXiv:2608.21278,Adapter routing for LLM safety alignment (Pillar 1/5)
CoLoRA: A Collaborative Scheduling Framework for Multi-Tenant LoRA LLM Inference,2026,WoS,"2026 31ST ASIA AND SOUTH PACIFIC DESIGN AUTOMATION CONFERENCE, ASP-DAC",Multi-tenant LoRA LLM inference serving (Pillar 3)
D2MoRA: Diversity-Regulated Asymmetric MoE-LoRA Decomposition for Efficient Multi-Task Adaptation,2026,WoS,"FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 34",MoE-LoRA multi-task adaptation (Pillar 1/5)
DP-DyLoRA: Fine-Tuning Transformer-Based Models On-Device under Differentially Private Federated Learning using Dynamic Low-Rank Adaptation,2026,Scopus,IEEE International Conference on Communications,DP federated LoRA for transformers
DP-HM2F: Data-driven LoRA with dual-projection representation for heterogeneous multimodal federated fine-tuning,2026,WoS,EXPERT SYSTEMS WITH APPLICATIONS,Federated LoRA for multimodal LLMs
DeCAF: Decentralized consensus-and-factorization for low-rank adaptation of foundation models,2026,WoS,NEURAL NETWORKS,Decentralised LoRA theory -- directly bears on P2P gap claims
EPnG: Adaptive Expert Prune-and-Grow for Parameter-Efficient MoE Fine-tuning,2026,arXiv,arXiv:2607.01789,PEFT MoE for LLMs (Pillar 1/5)
Efficient Multi-Adapter LLM Serving via Cross-Model KV-Cache Reuse with Activated LoRA,2026,Scopus,Transactions on Machine Learning Research,"Multi-adapter LLM serving, KV-cache reuse (Pillar 3)"
Efficient multi-tenant LoRA serving via SGMV-specific operator autotuning,2026,WoS,JOURNAL OF KING SAUD UNIVERSITY COMPUTER AND INFORMATION SCIENCES,Multi-tenant LoRA serving kernel optimisation (Pillar 3)
Explainable multilingual NMT with adapters and mixture-of-experts: a study on low-resource Indic languages,2026,Scopus,International Journal of Speech Technology,Adapters+MoE composition for NLP (machine translation)
Exploring Backdoor Attacks in Federated Learning Under Parameter-Efficient Fine Tuning,2026,WoS,"INFORMATION SECURITY, ISC 2025",Security analysis of federated PEFT (Pillar 2)
FLAGuard: Efficient Verifiable Federated LoRA of Large Language Models,2026,WoS,IEEE TRANSACTIONS ON MOBILE COMPUTING,Verifiable federated LoRA for LLMs
FORCE: Federated Orthogonality-Aware Low-Rank Adaptation for Communication-Efficient Fine-Tuning,2026,WoS,IEEE NETWORKING LETTERS,Communication-efficient federated LoRA
FedGSA: Geometry-Consistent Subspace Aggregation for Differentially Private Federated LoRA,2026,arXiv,arXiv:2608.03267,DP federated LoRA aggregation
FedLoDrop: Federated LoRA With Dropout for Generalized LLM Fine-Tuning,2026,WoS,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,Federated LoRA generalisation for LLMs
FedMosaic: Federated Retrieval-Augmented Generation via Parametric Adapters,2026,Scopus,SIGIR 2026 - Proceedings of the 49th International ACM SIGIR Conference on Research and Development in Information Retrieval,Federated RAG via adapters for LLMs (Pillar 2)
FedP2EFT: Federated Learning to Personalize PEFT for Multilingual LLMs,2026,WoS,"FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 27","Federated PEFT personalisation, multilingual LLMs"
FedQuad: Adaptive Layer-Wise LoRA Deployment and Activation Quantization for Federated Fine-Tuning,2026,WoS,IEEE TRANSACTIONS ON MOBILE COMPUTING,Federated LoRA deployment+quantisation
FedWeave: Rethinking the Unit of Specialization in Heterogeneous Federated MoE-LoRA,2026,arXiv,arXiv:2607.26618,Federated MoE-LoRA specialisation
Federated LoRA Fine-Tuning for LLMs via Collaborative Alignment,2026,arXiv,arXiv:2605.21217,"Federated LoRA for LLMs, collaborative alignment"
Federated LoRA Fine-Tuning of LLMs With Only Transmitting Matrix A or B,2026,WoS,IEEE TRANSACTIONS ON MOBILE COMPUTING,Federated LoRA communication efficiency
HAFLQ: Heterogeneous Adaptive Federated LoRA Fine-Tuned LLM With Quantization,2026,WoS,IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,Federated LoRA LLM with quantisation
Improving Dialect Robustness in Large Language Models via LoRA and Mixture-of-Experts,2026,Scopus,"VarDial 2026 - 13th Workshop on NLP for Similar Languages, Varieties and Dialects, Proceedings of the Workshop","LoRA+MoE for LLM dialect robustness (Pillar 1/5, NLP)"
Localized LoRA-MoE: Block-wise Low-Rank Experts With Adaptive Routing,2026,arXiv,arXiv:2607.05114,PEFT MoE architecture for LLMs/perception (Pillar 1/5)
MACE: Modular Adaptive Code Engine with Context-Aware LoRA Expert Routing and Hierarchical Retrieval-Augmented Generation,2026,Scopus,CEUR Workshop Proceedings,LLM code generation with adapter expert routing (Pillar 1/5)
MHP-SERVE: Mobile Heterogeneous Parallel Serving for LoRA Inference,2026,WoS,"WIRELESS SENSOR NETWORKS, CWSN 2025",Mobile LoRA inference serving (Pillar 3)
MMtuning: An Advanced Multi-adapter Framework for Efficient Multimodal Large Language Models Fine-Tuning,2026,WoS,"KNOWLEDGE SCIENCE, ENGINEERING AND MANAGEMENT, KSEM 2025, PT III",Multi-adapter PEFT for multimodal LLMs (Pillar 1/2)
MoE$^2$-LoRA: When MoE Models Meet MoE-style Low-Rank Adaptation,2026,arXiv,arXiv:2607.21978,Core PEFT MoE-LoRA for LLMs (Pillar 1/5)
MoEGen: Mixture-of-Experts for Instance-Adaptive LoRA Generation,2026,arXiv,arXiv:2608.03275,MoE for instance-adaptive LoRA generation (Pillar 1/5)
Multi-Adapter LLMs: Dynamic Mixture of LoRAs for Scalable Personalization,2026,Scopus,"2026 International Conference on Smart Futuristic Technology, ICSFT 2026",Core multi-adapter LLM serving/personalisation (Pillar 1/2/3)
On the Construction and Implications of Low-Loss Valleys in LoRA-based Bayesian Inference,2026,arXiv,arXiv:2605.29580,LoRA theory: Bayesian inference / loss landscape (Pillar 1)
PEML: Parameter-efficient Multi-Task Learning with Optimized Continuous Prompts,2026,arXiv,arXiv:2605.14055,Multi-task PEFT with continuous prompts for LLMs (Pillar 1/2)
PFAdapter: Hierarchical LoRA Decomposition for Personalized Federated MLLMs,2026,arXiv,arXiv:2607.12111,Federated multimodal LLM adapters (Pillar 2)
Parameter-Efficient Large Model Transfer and Cloud-Edge Collaborative Inference Method for Edge Devices,2026,Scopus,"2026 IEEE 6th International Conference on Electronic Technology, Communication and Information, ICETCI 2026",Adapter-based cloud-edge LLM serving (Pillar 3)
