title,year,sources,venue_or_id,abstract
AdaFuse: Accelerating Dynamic Adapter Inference via Token-Level Pre-Gating and Fused Kernel Optimization,2026,Scopus;WoS,"Proceedings of the AAAI Conference on Artificial Intelligence;FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 37","The integration of dynamic, sparse structures like Mixture-of-Experts (MoE) with parameter-efficient adapters (e.g., LoRA) is a powerful technique for enhancing Large Language Models (LLMs). However, this architectural enhancement comes at a steep cost: despite minimal increases in computational load, the inference latency often skyrockets, leading to decoding speeds slowing by over 2.5 times. Through a fine-grained performance analysis, we pinpoint the primary bottleneck not in the computation itself, but in the severe overhead from fragmented, sequential CUDA kernel launches required for conventional dynamic routing. To address this challenge, we introduce AdaFuse, a framework built on a tight co-design between the algorithm and the underlying hardware system to enable efficient dynamic adapter execution. Departing from conventional layer-wise or block-wise routing, AdaFuse employs a token-level pre-gating strategy, which makes a single, global routing decision for all adapter layers before a token is processed. This “decide-once, apply-everywhere” approach effectively staticizes the execution path for each token, creating an opportunity for holistic optimization. We capitalize on this by developing a custom CUDA kernel that performs a fused switching operation, merging the parameters of all selected LoRA adapters into the backbone model in a single, efficient pass. Experimental results on popular open-source LLMs show that Ada-Fuse achieves accuracy on par with state-of-the-art dynamic adapters while drastically cutting decoding latency by a factor of over 2.4x, thereby bridging the gap between model capability and inference efficiency. © 2026, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved."
Adaptive Rank Allocation for Federated Parameter-Efficient Fine-Tuning of Language Models,2026,Scopus;WoS,IEEE Transactions on Computers;IEEE TRANSACTIONS ON COMPUTERS,"Pre-trained Language Models (PLMs) have demonstrated their superiority and versatility in modern Natural Language Processing (NLP), effectively adapting to various downstream tasks through further fine-tuning. Federated Parameter-Efficient Fine-Tuning (FedPEFT) has emerged as a promising solution to address privacy and efficiency challenges in distributed training for PLMs on resource-constrained local devices. However, our measurements reveal two key limitations of FedPEFT: heterogeneous data across devices exacerbates performance degradation of low-rank adaptation, and a fixed parameter configuration results in communication inefficiency. To overcome these limitations, we propose FedARA, a novel adaptive rank allocation framework for federated parameter-efficient fine-tuning of language models. Specifically, FedARA employs truncated Singular Value Decomposition (SVD) adaptation to enhance similar feature representation across clients, significantly mitigating the adverse effects of data heterogeneity. Subsequently, it utilizes dynamic rank allocation to progressively identify critical ranks, effectively improving communication efficiency. Lastly, it leverages rank-based module pruning to automatically remove inactive modules, steadily reducing local computational cost and memory usage in each federated learning round. Extensive experiments show that FedARA consistently outperforms baselines by an average of 6.95% to 8.49% across various datasets and models under heterogeneous data while significantly improving communication efficiency by 2.40×. Moreover, experiments on various edge devices demonstrate substantial decreases in total training time and energy consumption by up to 48.90% and 46.95%, respectively. © 2026 IEEE. All rights reserved."
CLARE: Continual Learning for Vision-Language-Action Models via Autonomous Adapter Routing and Expansion,2026,Scopus;WoS,IEEE Robotics and Automation Letters;IEEE ROBOTICS AND AUTOMATION LETTERS,"To teach robots complex manipulation tasks, it is now common practice to fine-tune a pre-trained vision-language-action model (VLA) on task-specific data. However, since this recipe updates existing representations, it is unsuitable for long-term operation in the real world, where robots must continually adapt to new tasks and environments while retaining the knowledge they have already acquired. Existing continual learning methods for robotics commonly require storing previous data (exemplars), struggle with long task sequences, or rely on task identifiers for deployment. To address these limitations, we propose CLARE, a general, parameter-efficient framework for exemplar-free continual learning with VLAs. CLARE introduces lightweight modular adapters into selected VLA modules and autonomously expands the model only where necessary when learning a new task, guided by layer-wise feature similarity. During deployment, an autoencoder-based routing mechanism dynamically activates the most relevant adapters without requiring task labels. Through extensive experiments on the LIBERO benchmark and five real-world tasks, we show that CLARE achieves high performance on new tasks without catastrophic forgetting of earlier tasks, significantly outperforming even exemplar-based methods. Code, data, and videos are available at our project website: tum-lsy.github.io/clare.  © 2016 IEEE."
Domain-Adaptive Multimodal Large Language Models for Photovoltaic Fault Diagnosis via Dynamic LoRA Routing,2026,Scopus;WoS,Processes;PROCESSES,"The reliability of photovoltaic (PV) equipment is vital for ensuring the safe and stable operation of power systems. While multimodal large language models (MLLMs) open up promising avenues for intelligent fault diagnosis, they often falter when confronted with the heterogeneity of PV data—where visual observations come from different sensor modalities (e.g., visible, infrared, and thermal) and display strong domain-dependent variations. Conventional Low-Rank Adaptation (LoRA) is not expressive enough to model such modality-aware differences, which can result in insufficient exploitation of informative patterns. To overcome this limitation, we propose PV-FaultExpert, a domain-adaptive MLLM designed specifically for PV equipment fault analysis. PV-FaultExpert is built upon DyLoRA (Dynamic Expert Routing with LoRA), a dynamic routing strategy that reformulates standard LoRA into a shared low-rank component coupled with multiple expert-specific adapters. A routing module then selects expert paths according to input characteristics, allowing the model to adapt to diverse modalities while maintaining parameter efficiency. Moreover, we construct a PVfault diagnosis dataset via ChatGPT-4o-assisted chain-of-thought reasoning and subsequent expert verification, which both supports model training and enables rigorous evaluation of our method. Extensive experiments demonstrate that PV-FaultExpert consistently surpasses strong baselines, including GPT-4 and Claude-3, across multiple evaluation criteria, producing fault analysis reports that are accurate, interpretable, and aligned with safety-critical requirements. © 2026 by the authors."
DyMerge-LoRA: On-GPU Post-Merge Fusion for High-Throughput Multi-Tenant Composite LoRA Serving,2026,Scopus;WoS,"Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining;PROCEEDINGS OF THE 32ND ACM SIGKDD CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING VOL 1, KDD 2026","In this paper, we consider the problem of efficiently serving multi-tenant requests for large language models (LLMs) equipped with compositions of multiple Low-Rank Adaptation (LoRA) adapters, aiming to optimize inference throughput, latency, and GPU memory usage. Existing multi-tenant inference systems are primarily architected for a one-to-one mapping between requests and single adapters, limiting their efficiency in handling compositions of multiple LoRA adapters. To address these issues, we propose DyMerge-LoRA, a novel inference serving system specifically designed for high-throughput multi-tenant scenarios by dynamically fusing corresponding LoRA adapters on the GPU. DyMerge-LoRA introduces a Base Adapter Manager (BAM) for efficient GPU memory management of individual basic adapters, a LoRA-Aware Greedy Scheduler (LAG) for batching, and a Mapping-based Adapter Fusion Matrix-Vector Multiplication (MAF-MVM) kernel for high computational throughput. Experimental evaluations conducted on multiple setups demonstrate that DyMerge-LoRA achieves up to 1.1-4× improvement in inference throughput compared to state-of-the-art methods, significantly reduces TTFT, and effectively mitigates GPU memory consumption, validating its effectiveness and performance advantages under diverse workload conditions.  © 2026 Owner/Author."
Enhancing Aggregation Efficiency and Training Stability in Heterogeneous Federated Learning Using the Adaptive LoRA FL Framework,2026,Scopus;WoS,Journal of Advances in Information Technology;JOURNAL OF ADVANCES IN INFORMATION TECHNOLOGY,"In recent years, Low-Rank Adaptation (LoRA) has emerged as a highly effective parameter-efficient fine-tuning technique for Transformer-based models. This paper extends the applicability of LoRA to traditional Deep Neural Networks (DNNs) by integrating it into a Federated Learning (FL) framework. The principal aim of this study is to facilitate data privacy protection while simultaneously minimizing weight transfer overhead in heterogeneous environments. To address the challenges of Non-Independent Identically Distribution (Non-IID) data, this study proposes the Adaptive LoRA FL framework, which incorporates feature mapping and category unification mechanisms to harmonize highly heterogeneous datasets. By integrating LoRA fine-tuning with feature mapping and category unification mechanisms, it effectively integrates highly heterogeneous datasets (e.g., CIC-IDS2017, Edge-IIoTset, and TON-IoT datasets). Furthermore, the performance of Adaptive LoRA FL framework is evaluated against state-of-the-art FL methods and demonstrate its generalizability across diverse application domains. Experimental results demonstrate that compared to full-weight aggregation, the Adaptive LoRA FL framework significantly reduces client communication costs while maintaining improved global accuracy. By integrating an early stopping mechanism, the training process terminates once convergence is reached, effectively minimizing redundant computation and communication overhead. © 2026 by the authors."
FedALT: Federated Fine-Tuning through Adaptive Local Training with Rest-of-World LoRA,2026,Scopus;WoS,"Proceedings of the AAAI Conference on Artificial Intelligence;FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 24","Fine-tuning large language models (LLMs) in federated settings enables privacy-preserving adaptation but suffers from cross-client interference due to model aggregation. Existing federated LoRA fine-tuning methods, primarily based on FedAvg, struggle with data heterogeneity, leading to harmful cross-client interference and suboptimal personalization. In this work, we propose FedALT, a novel personalized federated LoRA fine-tuning algorithm that fundamentally departs from FedAvg. Instead of using an aggregated model to initialize local training, each client continues training its individual LoRA while incorporating shared knowledge through a separate Rest-of-World (RoW) LoRA component. To effectively balance local adaptation and global information, FedALT introduces an adaptive mixer that dynamically learns input-specific weightings between the individual and RoW LoRA components, drawing conceptual foundations from the Mixture-of-Experts (MoE) paradigm. Through extensive experiments on NLP benchmarks, we demonstrate that FedALT significantly outperforms state-of-the-art personalized federated LoRA fine-tuning methods, achieving superior local adaptation without sacrificing computational efficiency. © 2026, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved."
FedFA: Efficient federated large language models with feature adapters,2026,Scopus;WoS,Expert Systems with Applications;EXPERT SYSTEMS WITH APPLICATIONS,"The on-device deployment of federated large language models (FLLM) at edge terminals presents a promising paradigm for distributed intelligence. Yet it faces three critical challenges: resource-constrained edge devices, device heterogeneity, and non-independent and identically distributed (non-IID) data distributions. To address these challenges, this paper proposes an efficient FLLM optimization scheme (FedFA) tailored for resource-constrained scenarios. The scheme achieves dual enhancement of resource efficiency and model accuracy through dynamic parameter update strategies and resource-aware collaborative training mechanisms. Specifically, we first establish the necessity of adaptive local training iterations by profiling the computational capabilities of heterogeneous edge devices. A hybrid parameter update mechanism is then designed, where the backbone parameters of pre-trained language models are kept frozen to minimize computational overhead, while knowledge transfer is achieved through momentum-accelerated adapter fine-tuning. Furthermore, we derive the convergence upper bound under resource constraints and reformulate the global loss minimization problem as a constrained optimization task with the number of local iterations as decision variables, effectively balancing contribution disparities among participants. Experimental results confirm that FedFA achieves substantial performance gains over baseline methods, including up to 80.95% improvement in accuracy, along with a reduction of 93.45% in time consumption and 93.06% in energy consumption. © 2025 Elsevier Ltd"
FedHydra: Toward Parameter-Efficient and Backdoor-Resistant Federated Unlearning in Human-Centric Metaverse Service,2026,Scopus;WoS,IEEE Transactions on Services Computing;IEEE TRANSACTIONS ON SERVICES COMPUTING,"Federated learning significantly enhances immersive user experiences in the human-centric metaverse by training machine learning models while keeping distributed data localized. As the right to be forgotten is legislated globally, users in the human-centric metaverse should have the option to have their data forgotten. Federated Unlearning (FU) is an emerging solution that enables the server to remove client contributions from trained global models by calibrating the historical model parameters of participating clients. However, retaining the entire model parameters incurs significant storage overhead, and the involvement of the remaining clients exposes the global model to the risk of backdoor attacks. This paper presents a new parameter-efficient and backdoor-resistant FU framework, called FedHydra. FedHydra segments the model into a base and a classifier layer. By storing the classifier parameters critical to predicting output, FedHydra reduces the storage overhead of the server. FedHydra also calibrates the classifier parameters and compares cosine similarity between the old and new classifier parameters of the remaining clients, reducing the computational overhead of unlearning while effectively preventing the abnormal clients from participating in the calibration. Experiments show that, compared with the full parameter-based storage calibration method, FedHydra achieves comparable unlearning effects, reduces storage overhead on the server, and improves unlearning efficiency. In addition, FedHydra reduces the attack success rates in different backdoor attack settings while maintaining the predictive performance of the global model.  © 2008-2012 IEEE."
MeLoRA: Probability measures-based low-rank adaptation with Gaussian variational inference,2026,Scopus;WoS,Knowledge-Based Systems;KNOWLEDGE-BASED SYSTEMS,"Full parameter fine-tuning of large language models (LLMs) imposes prohibitive computational burdens for edge deployment. Parameter-Efficient Fine-Tuning (PEFT) has emerged as a critical paradigm that optimizes only task-specific parameter subsets rather than the full weight matrix. Among widely used PEFT methods, Low+-Rank Adaptation (LoRA) and its variants have gained considerable popularity as they avoid additional inference costs. However, deterministic LoRA methods remain susceptible to data noise and catastrophic forgetting, creating a persistent accuracy gap with full fine-tuning. To address these limitations, we propose MeLoRA, a probabilistic framework that reformulates the fine-tuning objective using Gaussian variational inference. Building upon established Bayesian principles, our key innovation lies in applying this probabilistic formulation to the low-rank adapter context. MeLoRA treats adapter parameters as random variables governed by learnable Gaussian distributions, thereby shifting optimization from point estimates to the distribution's mean and covariance. This approach naturally captures parameter uncertainty and acts as an adaptive regularizer, enhancing robustness. We further employ a memory-efficient, low-rank parameterization of the covariance matrix to maintain practical efficiency. Extensive experiments with multiple pre-trained models across Natural Language Understanding (NLU), Natural Language Generation (NLG), and commonsense reasoning tasks validate the effectiveness of MeLoRA. Results show MeLoRA achieves significant improvements over baseline methods, e.g., fine-tuning LLaMA2-7B on the commonsense reasoning benchmark represents a 0.51% relative improvement, while fine-tuning GPT-2 Medium on E2E increases ROUGE-L by 0.6%. © 2026"
MoE-FFD: Mixture of Experts for Generalized and Parameter-Efficient Face Forgery Detection,2026,Scopus;WoS,IEEE Transactions on Dependable and Secure Computing;IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING,"Deepfakes have recently raised significant trust issues and security concerns among the public. Compared to CNN-based face forgery detectors, ViT-based methods take advantage of the expressivity of transformers, achieving superior detection performance. However, these approaches still exhibit the following limitations: (1) Fully fine-tuning ViT-based models from ImageNet weights demands substantial computational and storage resources; (2) ViT-based methods struggle to capture local forgery clues, leading to model bias; (3) These methods limit their scope on only one or few face forgery features, resulting in limited generalizability. To tackle these challenges, this work introduces Mixture-of-Experts modules for Face Forgery Detection (MoE-FFD), a generalized yet parameter-efficient ViT-based approach. MoE-FFD only updates lightweight Low-Rank Adaptation (LoRA) and Adapter layers while keeping the ViT backbone frozen, thereby achieving parameter-efficient training. Moreover, MoE-FFD leverages the expressivity of transformers and local priors of CNNs to simultaneously extract global and local forgery clues. Additionally, novel MoE modules are designed to scale the model’s capacity and smartly select optimal forgery experts, further enhancing forgery detection performance. Our proposed learning scheme can be seamlessly adapted to various transformer backbones in a plug-and-play manner. Extensive experimental results demonstrate that the proposed method achieves state-of-the-art face forgery detection performance with significantly reduced parameter overhead in cross-dataset, cross-manipulation, and robustness evaluations. Our ablation studies further validate the effectiveness of the designed components and the proposed learning scheme. © 2004-2012 IEEE."
Multi-Task Unified Domain Incremental Learning With Domain Difference Adapters,2026,Scopus;WoS,IEEE Transactions on Image Processing;IEEE TRANSACTIONS ON IMAGE PROCESSING,"This paper focuses on domain incremental learning (DIL) for multiple vision tasks, including object detection, instance segmentation, and image classification. DIL aims to adapt a model to new domains over time without forgetting previously acquired knowledge. Recent DIL methods append learnable prompts to input embeddings of a frozen base model to learn from new domains. However, due to prompts' limited representation ability, they struggle to adapt the feature space to new domain data distributions. To overcome this limitation, we propose a novel DIL method named Domain Difference Adapters (DD-Adapters). Through feature visualization and singular value analysis, we identify the cross-domain clustering ability of the base model and the low-rank property of domain difference. Based on these insights, our method imposes low-rank constraints on the base model to capture the principal components of domain differences, while freezing the base model to maintain its cross-domain clustering ability, thereby adapting to new domains effectively. Additionally, we introduce a prototype-guided domain selector (PDS) to dynamically select the appropriate DD-Adapters during inference, mitigating catastrophic forgetting in DIL. Extensive experimental evaluations on eight benchmark datasets demonstrate the performance superiority of the proposed method on three vision tasks, with minimal extra parameter usage. © 2026 IEEE."
