Authors,Title,Year,Source title,Cited by,DOI,Document Type,Open Access,UT (Accession Number),matched_queries
"Kamboj, D; Harit, G",A framework for efficient scientific diagram captioning using mixture-of-experts and low-rank adaptation,2026,SCIENTIFIC REPORTS,0,10.1038/s41598-026-51267-7,Article,,WOS:001816944600009,Q8
"Li, QY; Kong, R; Li, YC; Cai, HY; Wang, SQ; Kong, LH; Chen, GH; Yin, DW",AdaFuse: Accelerating Dynamic Adapter Inference via Token-Level Pre-Gating and Fused Kernel Optimization,2026,"FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 37",0,,Proceedings Paper,,WOS:001769433900092,Q4
"Wu, F; Hu, J; Min, GY; Wang, SQ",Adaptive Rank Allocation for Federated Parameter-Efficient Fine-Tuning of Language Models,2026,IEEE TRANSACTIONS ON COMPUTERS,2,10.1109/TC.2026.3655161,Article,,WOS:001717547600030,Q1;Q3;Q8
"Zhang, T; Zhang, C; Yuan, FY; Zheng, LL; Guo, YY",Alternating Aggregation Low-Rank Adaptation Approach for Federated Large Models,2026,"ADVANCED DATA MINING AND APPLICATIONS, ADMA 2025, PT I",0,10.1007/978-981-95-3453-1_31,Proceedings Paper,,WOS:001655298300031,Q8
"Zhu, JC; Lu, YR; Yang, WC; Zhang, J",An enhanced low-rank fine-tuning framework for federated large language models,2026,NEUROCOMPUTING,1,10.1016/j.neucom.2025.132475,Article,,WOS:001655678200001,Q8
"Fang, ZH; Lin, Z; Chen, Z; Chen, XH; Gao, Y; Fang, YG",Automated Federated Pipeline for Parameter-Efficient Fine-Tuning of Large Language Models,2026,IEEE TRANSACTIONS ON MOBILE COMPUTING,3,10.1109/TMC.2025.3649881,Article,,WOS:001760350600037,Q8
"Song, I; Lee, K",BitLoRA: Quantization-Compatible Adapter Tuning for 1.58-bit LLM in Federated On-Device AI-Agent,2026,EXPERT SYSTEMS WITH APPLICATIONS,0,10.1016/j.eswa.2026.131397,Article,,WOS:001684497900001,Q8
"Römer, R; Zhang, Y; Li, YM; Schoellig, AP",CLARE: Continual Learning for Vision-Language-Action Models via Autonomous Adapter Routing and Expansion,2026,IEEE ROBOTICS AND AUTOMATION LETTERS,0,10.1109/LRA.2026.3693992,Article,,WOS:001783573200013,Q5;Q8
"Lin, ZC; Wang, XB; Xie, YM; Meng, D; Hou, R",CoLoRA: A Collaborative Scheduling Framework for Multi-Tenant LoRA LLM Inference,2026,"2026 31ST ASIA AND SOUTH PACIFIC DESIGN AUTOMATION CONFERENCE, ASP-DAC",0,10.1109/ASP-DAC66049.2026.11420717,Proceedings Paper,,WOS:001807840500078,Q8
"Zuo, JH; Song, XM; Wen, HK; Liu, M; Hu, YP; Wang, JR; Nie, LQ",D2MoRA: Diversity-Regulated Asymmetric MoE-LoRA Decomposition for Efficient Multi-Task Adaptation,2026,"FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 34",2,,Proceedings Paper,,WOS:001769419900094,Q8
"Yang, Y; Zhu, SX; Sun, GL; He, Z; Liu, XY; Zhou, K; Cui, XJ",DP-HM2F: Data-driven LoRA with dual-projection representation for heterogeneous multimodal federated fine-tuning,2026,EXPERT SYSTEMS WITH APPLICATIONS,0,10.1016/j.eswa.2026.131287,Article,,WOS:001682574400001,Q8
"Saadati, N; Jiang, ZH; Waite, JR; Ganguly, S; Balu, A; Hegde, C; Sarkar, S",DeCAF: Decentralized consensus-and-factorization for low-rank adaptation of foundation models,2026,NEURAL NETWORKS,0,10.1016/j.neunet.2026.108992,Article,,WOS:001762924700001,Q8
"Wu, JJ; Chen, YW; Min, QH; Chen, M; Zhao, J; Ye, M",Domain-Adaptive Multimodal Large Language Models for Photovoltaic Fault Diagnosis via Dynamic LoRA Routing,2026,PROCESSES,0,10.3390/pr14040653,Article,,WOS:001700140700001,Q4
"Xu, R; Chen, L; Lao, HZ; Zhang, JQ; Zhu, X",DyMerge-LoRA: On-GPU Post-Merge Fusion for High-Throughput Multi-Tenant Composite LoRA Serving,2026,"PROCEEDINGS OF THE 32ND ACM SIGKDD CONFERENCE ON KNOWLEDGE DISCOVERY AND DATA MINING VOL 1, KDD 2026",0,10.1145/3770854.3780270,Proceedings Paper,,WOS:001783169400148,Q4
"Chiao, HT; Lin, WW; Tseng, SY; Hsieh, YC; Yang, CT",Echocardiography Report Translation and Inference Based on Parameter-Efficient Fine-Tuning of LLaMA Models,2026,DIAGNOSTICS,0,10.3390/diagnostics16081223,Article,,WOS:001750613600001,Q8
"Zhang, C; Zhou, G; Fu, T; Lu, JC",Efficient multi-tenant LoRA serving via SGMV-specific operator autotuning,2026,JOURNAL OF KING SAUD UNIVERSITY COMPUTER AND INFORMATION SCIENCES,0,10.1007/s44443-026-00937-7,Article,,WOS:001842848700001,Q8
"Chang, LH; Hsieh, YS; Lee, TH",Enhancing Aggregation Efficiency and Training Stability in Heterogeneous Federated Learning Using the Adaptive LoRA FL Framework,2026,JOURNAL OF ADVANCES IN INFORMATION TECHNOLOGY,0,10.12720/jait.17.4.678-695,Article,,WOS:001754526200005,Q1
"Huang, XF; Zhui, XJ; Chen, C",Exploring Backdoor Attacks in Federated Learning Under Parameter-Efficient Fine Tuning,2026,"INFORMATION SECURITY, ISC 2025",0,10.1007/978-3-032-08124-7_16,Proceedings Paper,,WOS:001691545500013,Q8
"Zhang, TY; Yu, HY; Chen, YW; Wang, S; Yang, Z",FLAGuard: Efficient Verifiable Federated LoRA of Large Language Models,2026,IEEE TRANSACTIONS ON MOBILE COMPUTING,0,10.1109/TMC.2025.3641570,Article,,WOS:001732670500009,Q8
"La, QV; Huang, JM; Le, HN; Tran, P; Nguyen, TA; Vo, PL; Zhou, BB; Tran, NH",FORCE: Federated Orthogonality-Aware Low-Rank Adaptation for Communication-Efficient Fine-Tuning,2026,IEEE NETWORKING LETTERS,0,10.1109/LNET.2026.3706755,Article,,WOS:001862907400012,Q8
"Bian, J; Wang, L; Zhang, L; Xu, J",FedALT: Federated Fine-Tuning through Adaptive Local Training with Rest-of-World LoRA,2026,"FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 24",0,,Proceedings Paper,,WOS:001768419600028,Q3;Q8
"Zhang, LJ; Ao, X; Guo, ST; Qiao, DW",FedFA: Efficient federated large language models with feature adapters,2026,EXPERT SYSTEMS WITH APPLICATIONS,1,10.1016/j.eswa.2025.130894,Article,,WOS:001658862100001,Q8
"Duan, L; Li, ZP; Yuan, XH; Wang, W; Liu, JQ; Ni, W",FedHydra: Toward Parameter-Efficient and Backdoor-Resistant Federated Unlearning in Human-Centric Metaverse Service,2026,IEEE TRANSACTIONS ON SERVICES COMPUTING,1,10.1109/TSC.2025.3620758,Article,,WOS:001792364900043,Q3
"Xie, SJ; Wen, DZ; You, CS; Chen, QM; Bennis, M; Huang, KB",FedLoDrop: Federated LoRA With Dropout for Generalized LLM Fine-Tuning,2026,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,6,10.1109/JSAC.2026.3660935,Article,,WOS:001700634200007,Q8
"Lee, R; Kim, M; Rezk, F; Li, R; Venieris, SI; Hospedales, T",FedP2EFT: Federated Learning to Personalize PEFT for Multilingual LLMs,2026,"FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 27",0,,Proceedings Paper,,WOS:001769346100065,Q8
"Liu, JC; Li, RK; Xu, HL; Ma, QP; Yan, JM; Huang, LS",FedQuad: Adaptive Layer-Wise LoRA Deployment and Activation Quantization for Federated Fine-Tuning,2026,IEEE TRANSACTIONS ON MOBILE COMPUTING,0,10.1109/TMC.2025.3637064,Article,,WOS:001732688700001,Q8
"Chen, YM; Li, RJ; Shao, JW; Sun, LF; Zhang, C; Zhang, J; Li, XL",Federated LoRA Fine-Tuning of LLMs With Only Transmitting Matrix A or B,2026,IEEE TRANSACTIONS ON MOBILE COMPUTING,0,10.1109/TMC.2026.3696859,Article,,WOS:001866205200010,Q8
"Shi, JW; Abdulah, S; Sun, Y; Genton, MG",Fully decentralized inference for spatial data using low-rank models,2026,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,0,10.1093/jrsssb/qkag113,Article; Early Access,,WOS:001816324800001,Q10
"Su, Y; Yan, N; Deng, YS; Dohler, M; Schober, R",HAFLQ: Heterogeneous Adaptive Federated LoRA Fine-Tuned LLM With Quantization,2026,IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,0,10.1109/TWC.2026.3711528,Article,,WOS:001827926700006,Q8
"Lei, JH; Li, X; Wu, CB; Fu, Q; Liu, JJ; Kato, N",LLM-MM: End-to-End Robust Multimodal Beam Prediction for 6G V2X Networks via MoE-LoRA Adaptation,2026,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,5,10.1109/JSAC.2025.3647018,Article,,WOS:001700634200006,Q8
"Zhang, JZ; Wang, YT; Wang, WL; Li, BR; Wang, S; Li, ZG",MHP-SERVE: Mobile Heterogeneous Parallel Serving for LoRA Inference,2026,"WIRELESS SENSOR NETWORKS, CWSN 2025",0,10.1007/978-981-95-9615-7_29,Proceedings Paper,,WOS:001820152300029,Q8
"Qiu, XH; Shao, SY; Du, Q; Wang, XM; Tan, XY",MLLoRA: Leveraging meta-learning and LoRA for efficient multi-task fine-tuning in LLM-driven medical applications,2026,PATTERN RECOGNITION LETTERS,0,10.1016/j.patrec.2026.07.001,Article,,WOS:001823110100001,Q8
"Qiao, L; Wang, HW; Sugiura, K; Liu, KR; Hu, JL",MMtuning: An Advanced Multi-adapter Framework for Efficient Multimodal Large Language Models Fine-Tuning,2026,"KNOWLEDGE SCIENCE, ENGINEERING AND MANAGEMENT, KSEM 2025, PT III",0,10.1007/978-981-95-3055-7_5,Proceedings Paper,,WOS:001717867900005,Q4;Q8
"He, X; Geng, X; Zhang, TC; Yu, MH; Zhao, YH; Yang, XL; Wu, M; Yu, G",MeLoRA : Probability measures-based low-rank adaptation with Gaussian variational inference,2026,KNOWLEDGE-BASED SYSTEMS,0,10.1016/j.knosys.2026.115318,Article,,WOS:001675059800001,Q8
"Kong, CQ; Luo, AW; Bao, PJ; Yu, Y; Li, HL; Zheng, ZW; Wang, SQ; Kot, AC",MoE-FFD: Mixture of Experts for Generalized and Parameter-Efficient Face Forgery Detection,2026,IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING,30,10.1109/TDSC.2025.3604443,Article,,WOS:001663382300007,Q1;Q4
"Song, X; He, YH; Peng, L; Gong, YH",Multi-Task Unified Domain Incremental Learning With Domain Difference Adapters,2026,IEEE TRANSACTIONS ON IMAGE PROCESSING,1,10.1109/TIP.2026.3678033,Article,,WOS:001743138700001,Q2
"Ding, D; Liu, ZC; Chen, H",Multi-Task-Driven Adapter-Based Foundation Model for Locomotion Prediction in Virtual Reality,2026,ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,0,10.1145/3786206,Article,,WOS:001829262400001,Q2
"Liu, HJ; Zhang, J; Yu, H; Wei, BY; Nie, J; Li, SJ; Zhou, XC",PM-adapter: MoE based dynamic denoising fine-tuning for thermal infrared object detection,2026,NEUROCOMPUTING,0,10.1016/j.neucom.2025.131718,Article,,WOS:001601182700003,Q4
"Alzahrani, B; Yang, DJ",PrivLoRA: Enhancing Privacy in LoRA-Based Fine-Tuning of Large Language Models for Federated Learning,2026,"2026 INTERNATIONAL CONFERENCE ON COMPUTING, NETWORKING AND COMMUNICATIONS, ICNC",0,10.1109/ICNC68183.2026.11416880,Proceedings Paper,,WOS:001807851200124,Q1;Q3;Q8
"Mensah, SO; Djoumessi, K; Berens, P",Prototype-Guided and Lightweight Adapters for Inherent Interpretation and Generalisation in Federated Learning,2026,"MEDICAL IMAGE COMPUTING AND COMPUTER ASSISTED INTERVENTION - MICCAI 2025, PT VII",0,10.1007/978-3-032-04981-0_44,Proceedings Paper,,WOS:001596381600044,Q3
"Wu, KL; Peng, B; Zhai, DH",Spatiotemporal Context-Aware Prompting With Low-Rank Dynamic Routing for Exemplar-Free Video Class-Incremental Learning,2026,IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS,0,10.1109/TNNLS.2026.3698473,Article; Early Access,,WOS:001792477800001,Q4
"Zhang, HL; Li, ZW; Li, HX; Zhou, X; Zhang, J; Li, YD",TransFR: Transferable Federated Recommendation with Adapter Tuning on Pre-trained Language Models,2026,"FORTIETH AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE, AAAI-26, VOL 40 NO 33",1,,Proceedings Paper,,WOS:001769391100069,Q8
