paper_key,title,authors,year,venue,doi,arxiv_id,frozen_backbone,adapter_exchange,p2p_topology,discovery,multi_task_fusion,privacy_dp,no_central_coordinator,notes
2603.02885,MuxTune: Efficient Multi-Task LLM Fine-Tuning in Multi-Tenant Datacenters via Spatial-Temporal Backbone Multiplexing,Chunyu Xue; Yi Pan; Weihao Cui; Quan Chen; Shulai Zhang; Bingsheng He; Minyi Guo,2026,,,2603.02885,,,,,,,,
2512.20210,Predictive-LoRA: A Proactive and Fragmentation-Aware Serverless Inference System for LLMs,"Ni Y., Yang X., Tang Y., Qiu Z., Wang C., Yuan T.",2025,Proceedings of the 2025 6th International Conference on Computer Science and Management Technology,10.1145/3795154.3795359,2512.20210,,,,,,,,
10.1145/3711875.3729141,EdgeLoRA: An Efficient Multi-Tenant LLM Serving System on Edge Devices,"Shen Z., He Y., Wang Z., Zhang Y., Sun G., Ye W., Li A.",2025,"Proceedings of the 23rd Annual International Conference on Mobile Systems, Applications and Services",10.1145/3711875.3729141,,,,,,,,,
2511.22880,Serving Heterogeneous LoRA Adapters in Distributed LLM Inference Systems,Shashwat Jaiswal; Shrikara Arun; Anjaly Parayil; Ankur Mallick; Spyros Mastorakis; Alind Khare; Chloi Alverti; Renee St Amant; Chetan Bansal; Victor Rühle; Josep Torrellas,2025,arXiv.org,10.48550/arXiv.2511.22880,2511.22880,,,,,,,,
10.1109/TPDS.2025.3590014,Cannikin: No Lagger of SLO in Concurrent Multiple LoRA LLM Serving,"Zhu R., Jiang Z., Zhang Z., Liu X., Liu X., Jin X.",2025,IEEE Transactions on Parallel and Distributed Systems 36,10.1109/TPDS.2025.3590014,,,,,,,,,
10.1109/ICCD65941.2025.00046,AuLoRA: Fine-Grained Loading and Computation Orchestration for Efficient LoRA LLM Serving,"Shi X., Du J., Chen Z., Lu Y.",2025,2025 IEEE 43rd International Conference on Computer Design (ICCD),10.1109/ICCD65941.2025.00046,,,,,,,,,
10.1145/3772052.3772230,Symbiosis: Multi-Adapter Inference and Fine-Tuning,"Gupta S., Deshpande U., Janssen T., Sundararaman S.",2025,Proceedings of the 2025 ACM Symposium on Cloud Computing,10.1145/3772052.3772230,,,,,,,,,
2311.03285,S-LoRA: Serving Thousands of Concurrent LoRA Adapters,Ying Sheng; Shiyi Cao; Dacheng Li; Coleman Hooper; Nicholas Lee; Shuo Yang; Christopher Chou; Banghua Zhu; Lianmin Zheng; Kurt Keutzer; Joseph E. Gonzalez; Ion Stoica,2024,Conference on Machine Learning and Systems (MLSys 2024),,2311.03285,,,,,,,,
10.1109/ICWS62655.2024.00099,Edge-LLM: A Collaborative Framework for Large Language Model Serving in Edge Computing,"Cai F., Yuan D., Yang Z., Cui L.",2024,2024 IEEE International Conference on Web Services (ICWS),10.1109/ICWS62655.2024.00099,,,,,,,,,
2401.11240,CaraServe: CPU-Assisted and Rank-Aware LoRA Serving for Generative LLM Inference,Suyi Li; Hanfeng Lu; Tianyuan Wu; Minchen Yu; Qizhen Weng; Xusheng Chen; Yizhou Shan; Binhang Yuan; Wei Wang,2024,ArXiv,10.48550/arXiv.2401.11240,2401.11240,,,,,,,,
2407.00066,Compress then Serve: Serving Thousands of LoRA Adapters with Little Overhead,"Gabrielsson R.B., Zhu J., Bhardwaj O., Choshen L., Greenewald K., Yurochkin M., Solomon J.",2024,International Conference on Machine Learning,10.48550/arXiv.2407.00066,2407.00066,,,,,,,,
