title,doi,arxiv_id,abstract_decision,fulltext_decision,title_screened_502,enriched_464,abstract_pool_552,fulltext_queue_387,extraction_224,final_123
FedPrompt: Communication-Efficient and Privacy-Preserving Prompt Tuning in Federated Learning,10.1109/ICASSP49357.2023.10095356,,SKIP,DEFER,1,1,1,1,0,0
FATE-LLM: A Industrial Grade Federated Learning Framework for Large Language Models,10.48550/arXiv.2310.10049,2310.10049,SKIP,DEFER,1,1,1,1,0,0
Federated Learning of Large Language Models with Parameter-Efficient Prompt Tuning and Adaptive Optimization,10.48550/arXiv.2310.15080,2310.15080,SKIP,DEFER,1,1,1,1,0,0
Federated Full-Parameter Tuning of Billion-Sized Language Models with Communication Cost under 18 Kilobytes,10.48550/arXiv.2312.06353,2312.06353,SKIP,DEFER,1,1,1,1,0,0
Efficient Federated Learning for Modern NLP,10.1145/3570361.3592505,,SKIP,DEFER,1,1,1,1,0,0
FDLoRA: Personalized Federated Learning of Large Language Model via Dual LoRA Tuning,10.48550/arXiv.2406.07925,2406.07925,SKIP,DEFER,1,1,1,1,0,0
FedBPT: Efficient Federated Black-box Prompt Tuning for Large Language Models,10.48550/arXiv.2310.01467,2310.01467,SKIP,DEFER,1,1,1,1,0,0
pFedLoRA: Model-Heterogeneous Personalized Federated Learning with LoRA Tuning,,,SKIP,DEFER,1,1,1,1,0,0
HSplitLoRA: A Heterogeneous Split Parameter-Efficient Fine-Tuning Framework for Large Language Models,10.48550/arXiv.2505.02795,2505.02795,SKIP,DEFER,1,1,1,1,0,0
Reducing Communication Overhead in Federated Learning for Pre-trained Language Models Using Parameter-Efficient Finetuning,,,SKIP,DEFER,1,1,1,1,0,0
LoRA-Switch: Boosting the Efficiency of Dynamic LLM Adapters via System-Algorithm Co-design,10.48550/arXiv.2405.17741,2405.17741,SKIP,DEFER,1,1,1,1,0,0
Retrieval-Augmented Mixture of LoRA Experts for Uploadable Machine Learning,10.48550/arXiv.2406.16989,2406.16989,SKIP,DEFER,1,1,1,1,0,0
Profit: Benchmarking Personalization and Robustness Trade-off in Federated Prompt Tuning,10.48550/arXiv.2310.04627,2310.04627,SKIP,DEFER,1,1,1,1,0,0
Each Rank Could be an Expert: Single-Ranked Mixture of Experts LoRA for Multi-Task Learning,10.48550/arXiv.2501.15103,2501.15103,SKIP,DEFER,1,1,1,1,0,0
Communication-Efficient and Tensorized Federated Fine-Tuning of Large Language Models,10.48550/arXiv.2410.13097,2410.13097,SKIP,DEFER,1,1,1,1,0,0
Learning to Route for Dynamic Adapter Composition in Continual Learning with Language Models,10.48550/arXiv.2408.09053,2408.09053,SKIP,DEFER,1,1,1,1,0,0
LoRATEE: A Secure and Efficient Inference Framework for Multi-Tenant LoRA LLMs Based on TEE,10.1109/ICASSP49660.2025.10890445,,SKIP,DEFER,1,1,1,1,0,0
PLoRA: Efficient LoRA Hyperparameter Tuning for Large Models,10.48550/arXiv.2508.02932,2508.02932,SKIP,DEFER,1,1,1,1,0,0
LoRAFusion: Efficient LoRA Fine-Tuning for LLMs,10.1145/3767295.3769331,2510.00206,SKIP,DEFER,1,1,1,1,0,0
tLoRA: Efficient Multi-LoRA Training with Elastic Shared Super-Models,10.48550/arXiv.2602.07263,2602.07263,SKIP,DEFER,1,1,1,1,0,0
ServerlessLoRA: Minimizing Latency and Cost in Serverless Inference for LoRA-Based LLMs,10.48550/arXiv.2505.14468,2505.14468,SKIP,DEFER,1,1,1,1,0,0
MixLoRA: An Efficient Multi-Tenant Framework for Concurrently Serving Diverse LoRA Models in Large Language Models,10.1145/3754598.3754605,,SKIP,DEFER,1,1,1,1,0,0
Federated Fine-Tuning on Heterogeneous Devices with Adaptive Quantization and LoRA Depths,10.1109/ICPADS67057.2025.11323139,,SKIP,DEFER,1,1,1,1,0,0
SOLAR: Communication-Efficient Model Adaptation via Subspace-Oriented Latent Adapter Reparametrization,,2604.08368,SKIP,DEFER,1,1,1,1,0,0
ALTO: Adaptive LoRA Tuning and Orchestration for Heterogeneous LoRA Training Workloads,,2604.05426,SKIP,DEFER,1,1,1,1,0,0
FLAGuard: Efficient Verifiable Federated LoRA of Large Language Models,10.1109/TMC.2025.3641570,,SKIP,DEFER,1,1,1,1,0,0
Federated Learning with Ad-hoc Adapter Insertions: The Case of Soft-Embeddings for Training Classifier-as-Retriever,10.48550/arXiv.2509.16508,2509.16508,SKIP,DEFER,1,1,1,1,0,0
Resource-Efficient Personal Large Language Models Fine-Tuning With Collaborative Edge Computing,10.1109/TPDS.2026.3654957,,SKIP,DEFER,1,1,1,1,0,0
