paper_key,title,review_source,title_screened_502,enriched_464,abstract_pool_552,fulltext_queue_387,extraction_224,final_123
2603.02885,MuxTune: Efficient Multi-Task LLM Fine-Tuning in Multi-Tenant Datacenters via Spatial-Temporal Backbone Multiplexing,fulltext,1,1,1,1,1,1
2512.20210,Predictive-LoRA: A Proactive and Fragmentation-Aware Serverless Inference System for LLMs,fulltext,1,1,1,1,1,1
10.1145/3711875.3729141,EdgeLoRA: An Efficient Multi-Tenant LLM Serving System on Edge Devices,abstract-2nd-pass,1,1,1,1,1,1
2511.22880,Serving Heterogeneous LoRA Adapters in Distributed LLM Inference Systems,fulltext,1,1,1,1,1,1
10.1109/TPDS.2025.3590014,Cannikin: No Lagger of SLO in Concurrent Multiple LoRA LLM Serving,abstract-2nd-pass,1,1,1,1,1,1
10.1109/ICCD65941.2025.00046,AuLoRA: Fine-Grained Loading and Computation Orchestration for Efficient LoRA LLM Serving,abstract-2nd-pass,1,1,1,1,1,1
10.1145/3772052.3772230,Symbiosis: Multi-Adapter Inference and Fine-Tuning,abstract-2nd-pass,1,1,1,1,1,1
2311.03285,S-LoRA: Serving Thousands of Concurrent LoRA Adapters,fulltext,1,1,1,1,1,1
10.1109/ICWS62655.2024.00099,Edge-LLM: A Collaborative Framework for Large Language Model Serving in Edge Computing,abstract-2nd-pass,1,1,1,1,1,1
2401.11240,CaraServe: CPU-Assisted and Rank-Aware LoRA Serving for Generative LLM Inference,fulltext,1,1,1,1,1,1
2407.00066,Compress then Serve: Serving Thousands of LoRA Adapters with Little Overhead,fulltext,1,1,1,1,1,1
10.1145/3704440.3704777,Comparative Analysis and Optimization of LoRA Adapter Co-serving for Large Language Models,abstract-2nd-pass,1,1,1,1,1,1
2310.18547,Punica: Multi-Tenant LoRA Serving,fulltext,1,1,1,1,1,1
2501.15361,Decentralized Low-Rank Fine-Tuning of Large Language Models,fulltext,1,1,1,1,1,1
2404.05182,DLoRA: Distributed Parameter-Efficient Fine-Tuning Solution for Large Language Model,fulltext,1,1,1,1,1,1
2503.11880,FedALT: Federated Fine-Tuning through Adaptive Local Training with Rest-of-the-World LoRA,fulltext,1,1,1,1,1,1
10.1109/INFOCOM55648.2025.11044641,Federated Adaptive Fine-Tuning of Large Language Models with Heterogeneous Quantization and LoRA,abstract-2nd-pass,1,1,1,1,1,1
10.18653/v1/2025.acl-long.67,FedEx-LoRA: Exact Aggregation for Federated and Efficient Fine-Tuning of Large Language Models,fulltext,1,1,1,1,1,1
10.1109/ICDM65498.2025.00089,DP-FedLoRA: Privacy-Enhanced Federated Fine-Tuning for On-Device Large Language Models,abstract-2nd-pass,1,1,1,1,1,1
2403.12313,Improving LoRA in Privacy-preserving Federated Learning,fulltext,1,1,1,1,1,1
2409.05976,FLoRA: Federated Fine-Tuning Large Language Models with Heterogeneous Low-Rank Adaptations,fulltext,1,1,1,1,1,1
10.1145/3637528.3671897,FedBiOT: LLM Local Fine-tuning in Federated Learning without Full Model,abstract-2nd-pass,1,1,1,1,1,1
10.52202/079017-0461,Federated Fine-tuning of Large Language Models under Heterogeneous Tasks and Client Resources,abstract-2nd-pass,1,1,1,1,1,1
2407.00952,SplitLoRA: A Split Parameter-Efficient Fine-Tuning Framework for Large Language Models,fulltext,1,1,1,1,1,1
2410.01463,Selective Aggregation for Low-Rank Adaptation in Federated Learning,fulltext,1,1,1,1,1,1
2404.18848,FeDeRA: Efficient Fine-tuning of Language Models in Federated Learning Leveraging Weight Decomposition,fulltext,1,1,1,1,1,1
2410.22815,Towards Robust and Efficient Federated Low-Rank Adaptation with Heterogeneous Clients,fulltext,1,1,1,1,1,1
10.18653/v1/2025.naacl-short.30,Towards Federated Low-Rank Adaptation of Language Models with Rank Heterogeneity,fulltext,1,1,1,1,1,1
10.1109/GLOBECOM52923.2024.10901572,Federated Low-Rank Adaptation for Large Language Model Fine-Tuning Over Wireless Networks,abstract-2nd-pass,1,1,1,1,1,1
10.1109/TMC.2025.3586644,Adaptive Parameter-Efficient Federated Fine-Tuning on Heterogeneous Devices,abstract-2nd-pass,1,1,1,1,1,1
10.1109/FLTA63145.2024.10840125,Aggregating Low Rank Adapters in Federated Fine-Tuning,abstract-2nd-pass,1,1,1,1,1,1
10.1109/ICPADS63350.2024.00040,FedMCP: Parameter-Efficient Federated Learning with Model-Contrastive Personalization,abstract-2nd-pass,1,1,1,1,1,1
2308.06522,SLoRA: Federated Parameter Efficient Fine-Tuning of Language Models,fulltext,1,1,1,1,1,1
10.1145/3682068,Differentially Private Low-Rank Adaptation of Large Language Model Using Federated Learning,abstract-2nd-pass,1,1,1,1,1,1
10.18653/v1/2023.findings-acl.632,FedPETuning: When Federated Learning Meets the Parameter-Efficient Tuning Methods of Pre-trained Language Models,fulltext,1,1,1,1,1,1
d96aa291c0c56b9522cd7c901f1acd43818f1db3,FedAdapter: Efficient Federated Learning for Modern NLP,abstract-2nd-pass,1,1,1,1,1,1
10.1109/FLTA67013.2025.11336447,FedLoRASwitch: Efficient Federated Learning via LoRA Expert Hotswapping and Routing,abstract-2nd-pass,1,1,1,1,1,1
10.18653/v1/2025.naacl-long.201,Sparser Mixture-of-Adapters with Cross-Layer Generalization,fulltext,1,1,1,1,1,1
2404.15159,MixLoRA: Enhancing Large Language Models Fine-Tuning with LoRA based Mixture of Experts,fulltext,1,1,1,1,1,1
2410.18035,MiLoRA: Efficient Mixture of Low-Rank Adaptation for Large Language Models Fine-tuning,fulltext,1,1,1,1,1,1
2405.11157,Towards Modular LLMs by Building and Reusing a Library of LoRAs,fulltext,1,1,1,1,1,1
2307.13269,LoraHub: Efficient Cross-Task Generalization via Dynamic LoRA Composition,fulltext,1,1,1,1,1,1
2402.09997,LoraRetriever: Input-Aware LoRA Retrieval and Composition for Mixed Tasks in the Wild,fulltext,1,1,1,1,1,1
10.18653/v1/2023.findings-acl.75,Client-Customized Adaptation for Parameter-Efficient Federated Learning,fulltext,1,1,1,1,1,1
2503.12016,A Survey on Federated Fine-tuning of Large Language Models,fulltext,1,1,1,1,1,1
10.1145/3637528.3671573,FederatedScope-LLM: A Comprehensive Package for Fine-tuning Large Language Models in Federated Learning,abstract-2nd-pass,1,1,1,1,1,1
69d631b3875149050ab3088501cfc9d5cbea9e99,"Toppings: CPU-Assisted, Rank-Aware Adapter Serving for LLM Inference",abstract-2nd-pass,1,1,1,1,1,1
10.1145/3795154.3795363,FlashServe: Cost-Efficient Serverless Inference Scheduling for Large Language Models via Tiered Memory Management and Predictive Autoscaling,abstract-2nd-pass,1,1,1,1,1,1
10.1145/3725843.3756083,Chameleon: Adaptive Caching and Scheduling for Many-Adapter LLM Inference Environments,abstract-2nd-pass,1,1,1,1,1,1
2007.07779,AdapterHub: A Framework for Adapting Transformers,fulltext,1,1,1,1,1,1
2404.13628,Mixture of LoRA Experts,fulltext,1,1,1,1,1,1
10.18653/v1/2024.acl-long.106,LoRAMoE: Alleviating World Knowledge Forgetting in Large Language Models via MoE-Style Plugin,fulltext,1,1,1,1,1,1
2402.12851,MoELoRA: Contrastive Learning Guided Mixture of Experts on Parameter-Efficient Fine-Tuning for Large Language Models,fulltext,1,1,1,1,1,1
2403.03432,Mixture-of-LoRAs: An Efficient Multitask Tuning Method for Large Language Models,fulltext,1,1,1,1,1,1
2309.05444,Pushing Mixture of Experts to the Limit: Extremely Parameter Efficient MoE for Instruction Tuning,fulltext,1,1,1,1,1,1
2310.18339,MOELoRA: An MOE-based Parameter Efficient Fine-Tuning Method for Multi-task Medical Applications,fulltext,1,1,1,1,1,1
10.1145/3626772.3657722,When MOE Meets LLMs: Parameter Efficient Fine-tuning for Multi-task Medical Applications,abstract-2nd-pass,1,1,1,1,1,1
2306.05406,Mixture-of-Domain-Adapters: Decoupling and Injecting Domain Knowledge to Pre-trained Language Models’ Memories,fulltext,1,1,1,1,1,1
2210.17451,AdaMix: Mixture-of-Adaptations for Parameter-efficient Model Tuning,abstract-2nd-pass,1,1,1,1,1,1
2402.05859,Learning to Route Among Specialized Experts for Zero-Shot Generalization,fulltext,1,1,1,1,1,1
10.18653/v1/2021.emnlp-main.495,Single-dataset Experts for Multi-dataset Question Answering,fulltext,1,1,1,1,1,1
2402.09353,DoRA: Weight-Decomposed Low-Rank Adaptation,fulltext,1,1,1,1,1,1
2310.17513,The Expressive Power of Low-Rank Adaptation,fulltext,1,1,1,1,1,1
2311.11077,Adapters: A Unified Library for Parameter-Efficient and Modular Transfer Learning,fulltext,1,1,1,1,1,1
2310.11670,Prototype-based HyperAdapter for Sample-Efficient Multi-task Tuning,fulltext,1,1,1,1,1,1
10.52202/068431-0772,Memory Efficient Continual Learning with Transformers,abstract-2nd-pass,1,1,1,1,1,1
2205.10835,Multilingual Machine Translation with Hyper-Adapters,fulltext,1,1,1,1,1,1
2203.08304,Hyperdecoders: Instance-specific decoders for multi-task NLP,fulltext,1,1,1,1,1,1
2203.03878,HyperPELT: Unified Parameter-Efficient Language Model Tuning for Both Language and Vision-and-Language Tasks,fulltext,1,1,1,1,1,1
10.18653/v1/2021.acl-long.47,Parameter-efficient Multi-task Fine-tuning for Transformers via Shared Hypernetworks,fulltext,1,1,1,1,1,1
10.18653/v1/2022.acl-long.433,UniPELT: A Unified Framework for Parameter-Efficient Language Model Tuning,fulltext,1,1,1,1,1,1
10.18653/v1/2021.findings-emnlp.410,MAD-G: Multilingual Adapter Generation for Efficient Cross-Lingual Transfer,fulltext,1,1,1,1,1,1
10.18653/v1/2020.emnlp-main.617,MAD-X: An Adapter-based Framework for Multi-task Cross-lingual Transfer,fulltext,1,1,1,1,1,1
10.18653/v1/2021.acl-long.172,On the Effectiveness of Adapter-based Tuning for Pretrained Language Model Adaptation,fulltext,1,1,1,1,1,1
2510.12178,Evolution of meta's llama models and parameter-efficient fine-tuning of large language models: a survey,fulltext,1,1,1,1,1,1
10.1109/CLUSTER59342.2025.11186463,Rock: Serving Multimodal Models in Cloud with Heterogeneous-Aware Resource Orchestration for Thousands of LoRA Adapters,abstract-2nd-pass,1,1,1,1,1,1
ecf8cb103a07e78cb3d88944691ed39e48e6cd07,SLoRA: Scalable Serving of Thousands of LoRA Adapters,abstract-2nd-pass,1,1,1,1,1,1
2209.01188,Petals: Collaborative Inference and Fine-tuning of Large Models,fulltext,1,1,1,1,1,1
2504.17449,HMI: hierarchical knowledge management for efficient multi-tenant inference in pretrained language models,fulltext,1,1,1,1,1,1
10.1145/3605573.3605585,ITIF: Integrated Transformers Inference Framework for Multiple Tenants on GPU,abstract-2nd-pass,1,1,1,1,1,1
10.18653/v1/2024.emnlp-main.717,Heterogeneous LoRA for Federated Fine-tuning of On-Device Foundation Models,fulltext,1,1,1,1,1,1
10.1145/3543507.3583212,Beyond Fine-Tuning: Efficient and Effective Fed-Tuning for Mobile/Web Users,abstract-2nd-pass,1,1,1,1,1,1
10.52202/075280-2488,Multi-Head Adapter Routing for Cross-Task Generalization,abstract-2nd-pass,1,1,1,1,1,1
10.1016/j.neunet.2026.108912,SEA: Hierarchically searching efficient adapters for pre-trained models,abstract-2nd-pass,1,1,1,1,1,1
2005.00247,AdapterFusion: Non-Destructive Task Composition for Transfer Learning,fulltext,1,1,1,1,1,1
10.18653/v1/2021.emnlp-main.626,AdapterDrop: On the Efficiency of Adapters in Transformers,fulltext,1,1,1,1,1,1
10.24963/ijcai.2025/1196,Federated Low-Rank Adaptation for Foundation Models: A Survey,fulltext,1,1,1,1,1,1
10.1109/ACCESS.2024.3442014,An Overview of Autonomous Connection Establishment Methods in Peer-to-Peer Deep Learning,abstract-2nd-pass,1,1,1,1,1,1
10.1007/3-540-45748-8_5,Kademlia: A Peer-to-Peer Information System Based on the XOR Metric,abstract-2nd-pass,1,1,1,1,1,1
2305.14314,QLoRA: Efficient Finetuning of Quantized LLMs,fulltext,1,1,1,1,1,1
10.1007/s11704-024-40663-9,A survey on LoRA of large language models,fulltext,1,1,1,1,1,1
10.54097/6w0gxa44,Low Rank Adaptation Enables Efficient Domain Transfer in Billion Parameter Language Models,abstract-2nd-pass,1,1,1,1,1,1
0d2adcddccd72de47c263b6e4e0aab3dd0582a52,ReLoRA: High-Rank Training Through Low-Rank Updates,abstract-2nd-pass,1,1,1,1,1,1
2106.09685,LoRA: Low-Rank Adaptation of Large Language Models,fulltext,1,1,1,1,1,1
a8ca46b171467ceb2d7652fbfb67fe701ad86092,LoRA: Low-Rank Adaptation of Large Language Models,abstract-2nd-pass,1,1,1,1,1,1
10.18653/v1/2021.acl-long.353,Prefix-Tuning: Optimizing Continuous Prompts for Generation,fulltext,1,1,1,1,1,1
10.18653/v1/2021.emnlp-main.243,The Power of Scale for Parameter-Efficient Prompt Tuning,fulltext,1,1,1,1,1,1
43a87867fe6bf4eb920f97fc753be4b727308923,Towards a Unified View of Parameter-Efficient Transfer Learning,abstract-2nd-pass,1,1,1,1,1,1
656ed155c2d345c19d9bff4b50f2ae00db8407cc,Compacter: Efficient Low-Rank Hypercomplex Adapter Layers,abstract-2nd-pass,1,1,1,1,1,1
29ddc1f43f28af7c846515e32cc167bc66886d0c,Parameter-Efficient Transfer Learning for NLP,abstract-2nd-pass,1,1,1,1,1,1
1902.00751,Parameter-Efficient Transfer Learning for NLP,fulltext,1,1,1,1,1,1
10.1007/s10462-025-11236-4,Parameter-efficient fine-tuning in large language models: a survey of methodologies,fulltext,1,1,1,1,1,1
10.1038/s42256-023-00626-4,Parameter-efficient fine-tuning of large-scale pre-trained language models,fulltext,1,1,1,1,1,1
10.18653/v1/2022.acl-short.1,BitFit: Simple Parameter-efficient Fine-tuning for Transformer-based Masked Language-models,fulltext,1,1,1,1,1,1
4d886c571c0849fda73a2d24e944d59fd37bcf9c,Collaborative Deep Learning in Fixed Topology Networks,abstract-2nd-pass,1,1,1,1,1,1
aaf4cec6c0ec0f195fc7aa3b0b175c73204fb575,Decentralized Collaborative Learning of Personalized Models over Networks,abstract-2nd-pass,1,1,1,1,1,1
10.1109/TBDATA.2023.3280405,Privacy and Efficiency of Communications in Federated Split Learning,abstract-2nd-pass,1,1,1,1,1,1
10.1109/jstsp.2022.3152445,Decentralized Federated Learning With Unreliable Communications,abstract-2nd-pass,1,1,1,1,1,1
10.18653/v1/2022.findings-naacl.13,FedNLP: Benchmarking Federated Learning Methods for Natural Language Processing Tasks,fulltext,1,1,1,1,1,1
10.1145/3429252,Decentralised Learning in Federated Deployment Environments,abstract-2nd-pass,1,1,1,1,1,1
10.1109/DSN-W52860.2021.00034,An Approach for Peer-to-Peer Federated Learning,abstract-2nd-pass,1,1,1,1,1,1
10.18653/v1/2020.emnlp-main.165,FedED: Federated Learning via Ensemble Distillation for Medical Relation Extraction,fulltext,1,1,1,1,1,1
10.1109/JIOT.2020.2964162,Federated Learning With Cooperating Devices: A Consensus Approach for Massive IoT Networks,fulltext,1,1,1,1,1,1
10.1109/JIOT.2024.3524255,EdgeShard: Efficient LLM Inference via Collaborative Edge Computing,abstract-2nd-pass,1,1,1,1,1,1
717bc487c987470e063ae92771e910da29ad77c2,ServerlessLLM: Low-Latency Serverless Inference for Large Language Models,abstract-2nd-pass,1,1,1,1,1,1
10.1145/3600006.3613165,Efficient Memory Management for Large Language Model Serving with PagedAttention,abstract-2nd-pass,1,1,1,1,1,1
9d7a75601e0e50dd68d40cfb8ef0e891dad797a6,Orca: A Distributed Serving System for Transformer-Based Generative Models,abstract-2nd-pass,1,1,1,1,1,1
10.1109/INFOCOM48880.2022.9796896,Distributed Inference with Deep Learning Models across Heterogeneous Edge Devices,abstract-2nd-pass,1,1,1,1,1,1
7d1e512888a2fa4e838c12a02ae7fce867d322a8,DeepSpeed-MoE: Advancing Mixture-of-Experts Inference and Training to Power Next-Generation AI Scale,abstract-2nd-pass,1,1,1,1,1,1
fdacf2a732f55befdc410ea927091cad3b791f13,Switch Transformers: Scaling to Trillion Parameter Models with Simple and Efficient Sparsity,abstract-2nd-pass,1,1,1,1,1,1
19eaa4ac17550fab2917d3f6121ed25e6d857a58,Towards Crowdsourced Training of Large Neural Networks using Decentralized Mixture-of-Experts,abstract-2nd-pass,1,1,1,1,1,1
10.1007/978-3-030-22496-7_5,Gossip Learning as a Decentralized Alternative to Federated Learning,fulltext,1,1,1,1,1,1
10.1002/cpe.2858,Gossip learning with linear models on fully distributed data,abstract-2nd-pass,1,1,1,1,1,1
