cite_key,entry_type,title,venue_raw,venue_category,year,doi,doi_type
Wohlin2014,inproceedings,Guidelines for Snowballing in Systematic Literature Studies and a Replication in Software Engineering,18th International Conference on Evaluation and Assessment in Software Engineering (EASE),18Th International Conference On Evaluation And Assessment In Software Engineering (Ease),2014,10.1145/2601248.2601268,venue DOI
BianFedALT2025,inproceedings,FedALT: Federated Fine-Tuning through Adaptive Local Training with Rest-of-World LoRA,AAAI Conference on Artificial Intelligence,AAAI,2026,10.1609/aaai.v40i24.39054,venue DOI
ZhangFedPETuning2023,inproceedings,FedPETuning: When Federated Learning Meets the Parameter-Efficient Tuning Methods of Pre-Trained Language Models,Findings of the Association for Computational Linguistics (ACL),ACL (Findings),2023,10.18653/v1/2023.findings-acl.632,venue DOI
ZhangHyperPELT2022,inproceedings,HyperPELT: Unified Parameter-Efficient Language Model Tuning for Both Language and Vision-and-Language Tasks,Findings of the Association for Computational Linguistics (ACL),ACL (Findings),2023,10.18653/v1/2023.findings-acl.725,venue DOI
LewisBART2020,inproceedings,"BART: Denoising Sequence-to-Sequence Pre-Training for Natural Language Generation, Translation, and Comprehension",Annual Meeting of the Association for Computational Linguistics (ACL),ACL (main),2020,10.18653/v1/2020.acl-main.703,venue DOI
HeEffectiveness2021,inproceedings,On the Effectiveness of Adapter-based Tuning for Pretrained Language Model Adaptation,Annual Meeting of the Association for Computational Linguistics (ACL),ACL (main),2021,10.18653/v1/2021.acl-long.172,venue DOI
LiLiang2021,inproceedings,Prefix-Tuning: Optimizing Continuous Prompts for Generation,Annual Meeting of the Association for Computational Linguistics (ACL-IJCNLP),ACL (main),2021,10.18653/v1/2021.acl-long.353,venue DOI
Mahabadi2021,inproceedings,Parameter-Efficient Multi-task Fine-Tuning for Transformers via Shared Hypernetworks,Annual Meeting of the Association for Computational Linguistics (ACL),ACL (main),2021,10.18653/v1/2021.acl-long.47,venue DOI
BenZaken2022,inproceedings,BitFit: Simple Parameter-Efficient Fine-Tuning for Transformer-Based Masked Language-Models,Annual Meeting of the Association for Computational Linguistics (ACL),ACL (main),2022,10.18653/v1/2022.acl-short.1,venue DOI
MaoUniPELT2022,inproceedings,UniPELT: A Unified Framework for Parameter-Efficient Language Model Tuning,Annual Meeting of the Association for Computational Linguistics (ACL),ACL (main),2022,10.18653/v1/2022.acl-long.433,venue DOI
Borzunov2023,inproceedings,Petals: Collaborative Inference and Fine-tuning of Large Models,Annual Meeting of the Association for Computational Linguistics (ACL) System Demonstrations,ACL (main),2023,10.18653/v1/2023.acl-demo.54,venue DOI
DiaomMoDE2023,inproceedings,Mixture-of-Domain-Adapters: Decoupling and Injecting Domain Knowledge to Pre-trained Language Models' Memories,Annual Meeting of the Association for Computational Linguistics (ACL),ACL (main),2023,10.18653/v1/2023.acl-long.280,venue DOI
DouLoRAMoE2024,inproceedings,LoRAMoE: Alleviating World Knowledge Forgetting in Large Language Models via MoE-Style Plugin,Annual Meeting of the Association for Computational Linguistics (ACL),ACL (main),2024,10.18653/v1/2024.acl-long.106,venue DOI
ZhaoLoraRetriever2024,inproceedings,LoraRetriever: Input-Aware LoRA Retrieval and Composition for Mixed Tasks in the Wild,Annual Meeting of the Association for Computational Linguistics (ACL),ACL (main),2024,10.18653/v1/2024.findings-acl.263,venue DOI
KooBai2025,inproceedings,Towards Robust and Efficient Federated Low-Rank Adaptation with Heterogeneous Clients,Annual Meeting of the Association for Computational Linguistics (ACL),ACL (main),2025,10.18653/v1/2025.acl-long.19,venue DOI
SinghalFedEx2025,inproceedings,FedEx-LoRA: Exact Aggregation for Federated and Efficient Fine-Tuning of Large Language Models,Annual Meeting of the Association for Computational Linguistics (ACL),ACL (main),2025,10.18653/v1/2025.acl-long.67,venue DOI
Shen2025EdgeLoRA,inproceedings,EdgeLoRA: An Efficient Multi-Tenant LLM Serving System on Edge Devices,"ACM International Conference on Mobile Systems, Applications and Services (MobiSys)",ACM MobiSys,2025,10.1145/3711875.3729141,venue DOI
StoicaChord2001,inproceedings,Chord: A Scalable Peer-to-Peer Lookup Service for Internet Applications,"ACM SIGCOMM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communications",ACM SIGCOMM,2001,10.1145/964723.383071,venue DOI
Keshav2007,article,How to Read a Paper,ACM SIGCOMM Comput. Commun. Rev.,ACM SIGCOMM,2007,10.1145/1273445.1273458,venue DOI
LiuWhenMOE2024,inproceedings,When MOE Meets LLMs: Parameter Efficient Fine-Tuning for Multi-task Medical Applications,ACM International Conference on Research and Development in Information Retrieval (SIGIR),ACM SIGIR,2024,10.1145/3626772.3657722,venue DOI
McMahan2017,inproceedings,Communication-Efficient Learning of Deep Networks from Decentralized Data,Artificial Intelligence and Statistics (AISTATS),AISTATS,2017,10.48550/arXiv.1602.05629,arXiv DOI
VanhaesebrouckDCL2017,inproceedings,Decentralized Collaborative Learning of Personalized Models over Networks,International Conference on Artificial Intelligence and Statistics (AISTATS),AISTATS,2017,10.48550/arXiv.1610.05202,arXiv DOI
CaiFedAdapter2023,inproceedings,FedAdapter: Efficient Federated Learning for Modern NLP,ACM TURC,Acm Turc,2023,10.1145/3603165.3607380,venue DOI
Page2021,article,The PRISMA 2020 Statement: An Updated Guideline for Reporting Systematic Reviews,BMJ,Bmj,2021,10.1136/bmj.n71,venue DOI
OrmandyGossip2013,article,Gossip Learning with Linear Models on Fully Distributed Data,Concurr. Comput.: Pract. Exp.,Concurr. Comput.: Pract. Exp.,2013,10.1002/cpe.2858,venue DOI
Pfeiffer2021fusion,inproceedings,AdapterFusion: Non-Destructive Task Composition for Transfer Learning,European Chapter of the Association for Computational Linguistics (EACL),EACL,2021,10.18653/v1/2021.eacl-main.39,venue DOI
AnsellMADG2021,inproceedings,MAD-G: Multilingual Adapter Generation for Efficient Cross-Lingual Transfer,Findings of Empirical Methods in Natural Language Processing (EMNLP),EMNLP (Findings),2021,10.18653/v1/2021.findings-emnlp.410,venue DOI
