read_status,tier,corpus,contribution_type,thesis_sections,title,authors,year,venue,citation_count,peft_technique,distribution_mechanism,contribution_codes,key_finding,doi,arxiv_id,source,paper_key
,1,core,adapter-serving,§5.x,MuxTune: Efficient Multi-Task LLM Fine-Tuning in Multi-Tenant Datacenters via Spatial-Temporal Backbone Multiplexing,Chunyu Xue; Yi Pan; Weihao Cui; Quan Chen; Shulai Zhang; Bingsheng He; Minyi Guo,2026,,0,generic-PEFT,none,,MuxTune: spatial-temporal backbone multiplexing for concurrent multi-task PEFT,,2603.02885,ARXIV,2603.02885
,1,core,adapter-serving,§5.x,Predictive-LoRA: A Proactive and Fragmentation-Aware Serverless Inference System for LLMs,"Ni Y., Yang X., Tang Y., Qiu Z., Wang C., Yuan T.",2025,Proceedings of the 2025 6th International Conference on Computer Science and Management Technology,4,LoRA,serverless,,Predictive-LoRA: LSTM adapter demand predictor + page-based GPU memory mgmt,10.1145/3795154.3795359,2512.20210,SCOPUS,2512.20210
,1,core,adapter-serving,§5.x,EdgeLoRA: An Efficient Multi-Tenant LLM Serving System on Edge Devices,"Shen Z., He Y., Wang Z., Zhang Y., Sun G., Ye W., Li A.",2025,"Proceedings of the 23rd Annual International Conference on Mobile Systems, Applications and Services",3,LoRA,none,,EdgeLoRA: multi-tenant LoRA serving on edge devices,10.1145/3711875.3729141,,SCOPUS,10.1145/3711875.3729141
,1,core,adapter-serving,§5.x,Serving Heterogeneous LoRA Adapters in Distributed LLM Inference Systems,Shashwat Jaiswal; Shrikara Arun; Anjaly Parayil; Ankur Mallick; Spyros Mastorakis; Alind Khare; Chloi Alverti; Renee St Amant; Chetan Bansal; Victor Rühle; Josep Torrellas,2025,arXiv.org,2,LoRA,none,★S1,LoraServe: rank-diversity-aware placement + GPU Direct RDMA,10.48550/arXiv.2511.22880,2511.22880,ARXIV,2511.22880
,1,core,adapter-serving,§5.x,Cannikin: No Lagger of SLO in Concurrent Multiple LoRA LLM Serving,"Zhu R., Jiang Z., Zhang Z., Liu X., Liu X., Jin X.",2025,IEEE Transactions on Parallel and Distributed Systems 36,1,LoRA,none,,Cannikin: SLO-aware concurrent multi-LoRA serving,10.1109/TPDS.2025.3590014,,SCOPUS,10.1109/TPDS.2025.3590014
,1,core,adapter-serving,§5.x,AuLoRA: Fine-Grained Loading and Computation Orchestration for Efficient LoRA LLM Serving,"Shi X., Du J., Chen Z., Lu Y.",2025,2025 IEEE 43rd International Conference on Computer Design (ICCD),0,LoRA,none,,AuLoRA: fine-grained LoRA loading/computation orchestration,10.1109/ICCD65941.2025.00046,,SCOPUS,10.1109/ICCD65941.2025.00046
,1,core,adapter-serving,§4.x; §5.x,Symbiosis: Multi-Adapter Inference and Fine-Tuning,"Gupta S., Deshpande U., Janssen T., Sundararaman S.",2025,Proceedings of the 2025 ACM Symposium on Cloud Computing,0,LoRA,none,,Symbiosis: multi-adapter inference and fine-tuning,10.1145/3772052.3772230,,SCOPUS,10.1145/3772052.3772230
,1,core,adapter-serving,§5.1,S-LoRA: Serving Thousands of Concurrent LoRA Adapters,Ying Sheng; Shiyi Cao; Dacheng Li; Coleman Hooper; Nicholas Lee; Shuo Yang; Christopher Chou; Banghua Zhu; Lianmin Zheng; Kurt Keutzer; Joseph E. Gonzalez; Ion Stoica,2024,Conference on Machine Learning and Systems (MLSys 2024),154,LoRA,model-parallel,★S1,"S-LoRA: unified paging, tensor parallelism for 1000s of concurrent adapters",,2311.03285,ARXIV,2311.03285
,1,core,adapter-serving,§5.x; §6.x,Edge-LLM: A Collaborative Framework for Large Language Model Serving in Edge Computing,"Cai F., Yuan D., Yang Z., Cui L.",2024,2024 IEEE International Conference on Web Services (ICWS),44,generic-PEFT,edge-collaborative,,Edge-LLM: PEFT-based collaborative LLM serving on edge,10.1109/ICWS62655.2024.00099,,SCOPUS,10.1109/ICWS62655.2024.00099
,1,core,adapter-serving,§5.3,CaraServe: CPU-Assisted and Rank-Aware LoRA Serving for Generative LLM Inference,Suyi Li; Hanfeng Lu; Tianyuan Wu; Minchen Yu; Qizhen Weng; Xusheng Chen; Yizhou Shan; Binhang Yuan; Wei Wang,2024,ArXiv,29,LoRA,none,,CaraServe: CPU-GPU coordinated LoRA loading with rank-aware SLO scheduling,10.48550/arXiv.2401.11240,2401.11240,ARXIV,2401.11240
,1,core,adapter-serving,§5.x,Compress then Serve: Serving Thousands of LoRA Adapters with Little Overhead,"Gabrielsson R.B., Zhu J., Bhardwaj O., Choshen L., Greenewald K., Yurochkin M., Solomon J.",2024,International Conference on Machine Learning,21,LoRA,none,,Compress-then-Serve: joint LoRA compression into shared basis,10.48550/arXiv.2407.00066,2407.00066,SCOPUS,2407.00066
,1,core,adapter-serving,§5.x,Comparative Analysis and Optimization of LoRA Adapter Co-serving for Large Language Models,Chen J.,2024,Middleware Demos/Posters/Doctoral Symposium,3,LoRA,none,,comparative analysis and optimization of LoRA adapter co-serving,10.1145/3704440.3704777,,SCOPUS,10.1145/3704440.3704777
,1,core,adapter-serving,§5.3,Punica: Multi-Tenant LoRA Serving,Lequn Chen; Zihao Ye; Yongji Wu; Danyang Zhuo; Luis Ceze; Arvind Krishnamurthy,2023,Conference on Machine Learning and Systems,78,LoRA,none,★S1,Punica: SGMV CUDA kernel for batching across different LoRA models,10.48550/arXiv.2310.18547,2310.18547,ARXIV,2310.18547
,1,core,P2P-DL,§6.3,Decentralized Low-Rank Fine-Tuning of Large Language Models,Sajjad Ghiasvand; Mahnoosh Alizadeh; Ramtin Pedarsani,2025,Proceedings of the 1st Workshop for Research on Agent Language Models (REALM 2025),12,LoRA,P2P; federated,★A1; ★S1,"Dec-LoRA: P2P decentralised LoRA fine-tuning, O(T^-0",10.48550/arXiv.2501.15361,2501.15361,ARXIV,2501.15361
,1,core,distributed-PEFT,§6.x,DLoRA: Distributed Parameter-Efficient Fine-Tuning Solution for Large Language Model,"Gao C., Zhang S.Q.",2024,Conference on Empirical Methods in Natural Language Processing,10,LoRA,none,,DLoRA: cloud-device distributed PEFT with Kill-and-Revive,10.48550/arXiv.2404.05182,2404.05182,SCOPUS,2404.05182
,1,core,federated-PEFT,§6.x,FedALT: Federated Fine-Tuning through Adaptive Local Training with Rest-of-the-World LoRA,Jieming Bian; Lei Wang; Letian Zhang; Jie Xu,2025,AAAI Conference on Artificial Intelligence,11,LoRA; MoE-adapters,federated,,FedALT: personalized federated LoRA with RoW component + MoE-style adaptive mixer,10.48550/arXiv.2503.11880,2503.11880,ARXIV,2503.11880
,1,core,federated-PEFT,§6.x,Federated Adaptive Fine-Tuning of Large Language Models with Heterogeneous Quantization and LoRA,"Gao Z., Zhang Z., Guo Y., Gong Y.",2025,IEEE INFOCOM 2025 - IEEE Conference on Computer Communications,7,QLoRA,federated,,federated adaptive LoRA fine-tuning with heterogeneous quantization,10.1109/INFOCOM55648.2025.11044641,,SCOPUS,10.1109/INFOCOM55648.2025.11044641
,1,core,federated-PEFT,§6.x,FedEx-LoRA: Exact Aggregation for Federated and Efficient Fine-Tuning of Large Language Models,"Singhal R., Ponkshe K., Vepakomma P.",2025,Annual Meeting of the Association for Computational Linguistics,6,LoRA,federated,,FedEx-LoRA: residual error term achieves exact FL aggregation with minimal overhead,10.18653/v1/2025.acl-long.67,,SCOPUS,10.18653/v1/2025.acl-long.67
,1,core,federated-PEFT,§6.x,DP-FedLoRA: Privacy-Enhanced Federated Fine-Tuning for On-Device Large Language Models,"Xu H., Shrestha S., Chen W., Li Z., Cai Z.",2025,2025 IEEE International Conference on Data Mining (ICDM),0,LoRA,federated,,DP-FedLoRA: differentially private federated LoRA fine-tuning on-device,10.1109/ICDM65498.2025.00089,,SCOPUS,10.1109/ICDM65498.2025.00089
,1,core,federated-PEFT,§6.x,Improving LoRA in Privacy-preserving Federated Learning,"Sun Y., Li Z., Li Y., Ding B.",2024,International Conference on Learning Representations,163,LoRA,federated,,FFA-LoRA: fixes LoRA aggregation discordance in FL with DP,10.48550/arXiv.2403.12313,2403.12313,SCOPUS,2403.12313
,1,core,federated-PEFT,§6.x,FLoRA: Federated Fine-Tuning Large Language Models with Heterogeneous Low-Rank Adaptations,"Wang Z., Shen Z., He Y., Sun G., Wang H., Lyu L., Li A.",2024,Neural Information Processing Systems,137,LoRA,federated,,FLoRA: noise-free stacking aggregation for heterogeneous LoRA ranks across FL clients,10.48550/arXiv.2409.05976,2409.05976,SCOPUS,2409.05976
,1,core,federated-PEFT,§6.x,FedBiOT: LLM Local Fine-tuning in Federated Learning without Full Model,"Wu F., Li Z., Li Y., Ding B., Gao J.",2024,Proceedings of the 30th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,116,generic-PEFT,federated,,federated LLM fine-tuning without full model sharing,10.1145/3637528.3671897,,SCOPUS,10.1145/3637528.3671897
,1,core,federated-PEFT,§6.x,Federated Fine-tuning of Large Language Models under Heterogeneous Tasks and Client Resources,"Bai J., Chen D., Qian B., Yao L., Li Y.",2024,Advances in Neural Information Processing Systems 37,83,LoRA,federated; edge-collaborative,,FlexLoRA: federated LoRA with heterogeneous tasks and client resources,10.52202/079017-0461,,SCOPUS,10.52202/079017-0461
,1,core,federated-PEFT,§6.x,SplitLoRA: A Split Parameter-Efficient Fine-Tuning Framework for Large Language Models,Zheng Lin; Xuanjie Hu; Yuxin Zhang; Zhe Chen; Zihan Fang; Xianhao Chen; Ang Li; Praneeth Vepakomma; Yue Gao,2024,ArXiv,73,LoRA,split-learning; federated,,SplitLoRA: split federated learning + LoRA,10.48550/arXiv.2407.00952,2407.00952,ARXIV,2407.00952
,1,core,federated-PEFT,§6.x,Selective Aggregation for Low-Rank Adaptation in Federated Learning,"Guo P., Zeng S., Wang Y., Fan H., Wang F., Qu L.",2024,International Conference on Learning Representations,64,LoRA,federated,,FedSA-LoRA: A-matrix asymmetry analysis in FL,10.48550/arXiv.2410.01463,2410.01463,SCOPUS,2410.01463
,1,core,federated-PEFT,§6.x,FeDeRA: Efficient Fine-tuning of Language Models in Federated Learning Leveraging Weight Decomposition,Yuxuan Yan; Qianqian Yang; Shunpu Tang; Zhiguo Shi,2024,ArXiv,34,LoRA,federated,,FeDeRA: SVD-based LoRA init for FL,10.48550/arXiv.2404.18848,2404.18848,ARXIV,2404.18848
